id,gruppe_id,teilnehmer_id,fach,datum,thema,bemerkung,wochentag,day_number,lehrkraft_id,id_mtr_rueckkopplung_datenmaske,type,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,cluster_id,pca_1,pca_2
15,2,20,PHY,2025-09-01,Weitere Themen: quGl/quErg,"beherrscht die spezifischen Fachbegriffe zuverlässig | hat zuletzt stark von der individuellen Unterstützung in der Nachhilfe profitiert | kann gut Zusammenhänge zwischen verschiedenen Informationen erkennen | schlägt gelegentlich sinnvolle Übungen oder Themen vor, an denen er arbeiten möchte | ist sehr offen für neue Lehrmethoden oder -ansätze",1,0,1,15,3,0.425776,0.205713,0.219097,0.423406,0.428178,0.429068,0.426242,performanz,0.429068,1,0.999998,2,-0.7667970766469825,0.9391328267530579
91,2,16,MAT,2025-09-01,Weitere Themen: VorbBLF,kann Gelerntes gut auf andere Fächer oder den Alltag übertragen | hat in letzter Zeit ein deutlich besseres Verständnis für die Anforderungen der Lehrkraft in der Schule entwickelt | nutzt oft abwechslungsreiche Formulierungen | zeigt sich sehr zielstrebig beim Erreichen von Lernzielen | erinnert sich präzise an besprochene Inhalte aus den letzten Nachhilfestunden,1,0,1,91,3,0.420971,0.143466,0.319791,0.414196,0.422431,0.421913,0.414625,methodik,0.422431,1,0.999998,1,0.2872663948213545,0.23764603120397537
136,2,21,PHY,2025-09-01,Weitere Themen: JahrAbschl,"muss ab und zu an grundlegende Vorgehensweisen des Faches PHY erinnert werden | Notenentwicklung in den letzten Wochen deutlich positiv | ist sehr motiviert, auch wenn Themen oder Aufgaben als schwierig empfunden werden | nutzt Fehler und Korrekturen während des Unterrichts ständig für das eigene Lernwachstum | nutzt regelmäßig Fragen, um eigenes Verständnis zu vertiefen",1,0,1,136,3,0.406904,0.249107,0.330514,0.405974,0.405651,0.40826,0.408764,regulation,0.408764,1,0.999998,1,2.0407738125308996,0.3037253058082546
265,2,23,MAT,2025-09-01,Weitere Themen: Einheitskreis,erinnert sich gut an den zuvor behandelten Stoff | Nachhilfe hat in letzter Zeit merklich zur Organisationsfähigkeit beigetragen | geht strukturiert an Aufgaben heran | nutzt oft abwechslungsreiche Formulierungen | Erfolge fördern die Motivation normalerweise,1,0,1,265,3,0.431991,0.123305,0.271645,0.422097,0.418238,0.437358,0.42428,performanz,0.437358,1,0.999998,2,-0.7831412613436122,0.6258352565363015
755,1,2,MAT,2025-09-01,Geometrie: SdP,"kann meistens der Aufgabenstellung entsprechend eine Antwort formulieren | Nachhilfe hat in letzter Zeit merklich zur Organisationsfähigkeit beigetragen | nutzt regelmäßig Fragen, um eigenes Verständnis zu vertiefen | vermeidet Flüchtigkeitsfehler überwiegend | ist offen für alternative Lösungsansätze",1,0,1,755,3,0.423197,0.216018,0.221991,0.423277,0.427206,0.424788,0.427602,regulation,0.427602,1,0.999998,2,-0.5579611567433287,1.0683947907425415
321,1,3,MAT,2025-09-02,Grundrechenarten: schrftlSub,"nutzt vorhandene Hilfsmittel zum Lösen von Aufgaben effektiv | konnte in den vergangenen Wochen einige neue Lernstrategien durch die Nachhilfe entwickeln | wird von schwierigeren Aufgaben meistens motiviert | kann seine Motivation normalerweise trotz den Fehlern, die er macht, aufrechterhalten | kann gut nach einem festgelegten Zeitplan lernen | nm wdhlg sub / PrzR",2,1,1,321,3,0.423577,0.188199,0.316626,0.405805,0.42189,0.42029,0.406935,kognition,0.423577,1,0.999998,1,0.6965414009548065,-0.37383639213989994
390,4,15,MAT,2025-09-02,Weitere Themen: Terme,"stellt häufig Fragen, die ein tieferes Verständnis für das aktuelle Thema zeigen | Fähigkeit zum Verstehen und Analysieren komplexer Sachverhalte hat sich über die letzten Wochen geringfügig verbessert | erholt sich schnell von Rückschlägen und Misserfolgen | hält Fristen für Hausaufgaben und Projekte konsequent ein | Fähigkeit zum kreativen Denken ist ausgeprägt",2,1,1,390,3,0.414975,0.167077,0.28432,0.426949,0.418241,0.422148,0.428508,regulation,0.428508,1,0.999998,2,0.02017348319261079,1.4352153857490937
425,2,5,MAT,2025-09-02,Weitere Themen: Terme,"stellt häufig Fragen, die ein tieferes Verständnis für das aktuelle Thema zeigen | Fähigkeit zum Verstehen und Analysieren komplexer Sachverhalte hat sich über die letzten Wochen geringfügig verbessert | erholt sich schnell von Rückschlägen und Misserfolgen | hält Fristen für Hausaufgaben und Projekte konsequent ein | Fähigkeit zum kreativen Denken ist ausgeprägt",2,1,1,425,3,0.414975,0.167077,0.28432,0.426949,0.418241,0.422148,0.428508,regulation,0.428508,1,0.999998,2,0.02017348319261079,1.4352153857490937
452,2,8,MAT,2025-09-02,Stochastik (Wahrscheinlichkeitsrechnung): komplÜb,kann Gelerntes gut auf andere Fächer oder den Alltag übertragen | Nachhilfe hat in letzter Zeit merklich zur Organisationsfähigkeit beigetragen | verfolgt Lernziele konsequent | bittet aktiv um Feedback | kann sich zuverlässig an früher Gelerntes erinnern und es nutzen | prima,2,1,1,452,3,0.443398,0.045263,0.274478,0.412037,0.433856,0.444299,0.413039,performanz,0.444299,1,0.999998,2,-1.6272688447082007,-0.6336688319347039
556,2,9,PHY,2025-09-02,Weitere Themen: Terme,"fühlt sich ziemlich sicher bei der Anwendung des Gelernten in neuen Kontexten | Selbstständigkeit hat sich in den letzten Wochen verbessert | schafft normalerweise alle Aufgaben in einer Klassenarbeit oder Leistungskontrollen in der dafür angesetzten Zeit | formuliert Fragen verständlich | ist oft fähig, Aufgaben ohne direkte Anleitung zu beenden",2,1,1,556,3,0.399264,0.21066,0.333461,0.428467,0.399717,0.408126,0.418434,motivation,0.428467,1,0.999998,1,1.775988489910417,1.8036487992975878
