id,gruppe_id,teilnehmer_id,fach,datum,thema,bemerkung,wochentag,day_number,lehrkraft_id,id_mtr_rueckkopplung_datenmaske,type,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,cluster_id,pca_1,pca_2
15,2,20,PHY,2025-09-01,Weitere Themen: quGl/quErg,"beherrscht die spezifischen Fachbegriffe zuverlässig | hat zuletzt stark von der individuellen Unterstützung in der Nachhilfe profitiert | kann gut Zusammenhänge zwischen verschiedenen Informationen erkennen | schlägt gelegentlich sinnvolle Übungen oder Themen vor, an denen er arbeiten möchte | ist sehr offen für neue Lehrmethoden oder -ansätze",1,0,1,15,3,0.425776,0.205713,0.219097,0.423406,0.428178,0.429068,0.426242,performanz,0.429068,1,0.999998,0,0.7614863132041726,0.8624966518013922
91,2,16,MAT,2025-09-01,Weitere Themen: VorbBLF,kann Gelerntes gut auf andere Fächer oder den Alltag übertragen | hat in letzter Zeit ein deutlich besseres Verständnis für die Anforderungen der Lehrkraft in der Schule entwickelt | nutzt oft abwechslungsreiche Formulierungen | zeigt sich sehr zielstrebig beim Erreichen von Lernzielen | erinnert sich präzise an besprochene Inhalte aus den letzten Nachhilfestunden,1,0,1,91,3,0.420971,0.143466,0.319791,0.414196,0.422431,0.421913,0.414625,methodik,0.422431,1,0.999998,1,-0.2855310673464571,0.07892986080050117
136,2,21,PHY,2025-09-01,Weitere Themen: JahrAbschl,"muss ab und zu an grundlegende Vorgehensweisen des Faches PHY erinnert werden | Notenentwicklung in den letzten Wochen deutlich positiv | ist sehr motiviert, auch wenn Themen oder Aufgaben als schwierig empfunden werden | nutzt Fehler und Korrekturen während des Unterrichts ständig für das eigene Lernwachstum | nutzt regelmäßig Fragen, um eigenes Verständnis zu vertiefen",1,0,1,136,3,0.406904,0.249107,0.330514,0.405974,0.405651,0.40826,0.408764,regulation,0.408764,1,0.999998,1,-1.9480445130227382,0.1922863804035021
265,2,23,MAT,2025-09-01,Weitere Themen: Einheitskreis,erinnert sich gut an den zuvor behandelten Stoff | Nachhilfe hat in letzter Zeit merklich zur Organisationsfähigkeit beigetragen | geht strukturiert an Aufgaben heran | nutzt oft abwechslungsreiche Formulierungen | Erfolge fördern die Motivation normalerweise,1,0,1,265,3,0.431991,0.123305,0.271645,0.422097,0.418238,0.437358,0.42428,performanz,0.437358,1,0.999998,0,0.70728026600254,0.4727715461389851
755,1,2,MAT,2025-09-01,Geometrie: SdP,"kann meistens der Aufgabenstellung entsprechend eine Antwort formulieren | Nachhilfe hat in letzter Zeit merklich zur Organisationsfähigkeit beigetragen | nutzt regelmäßig Fragen, um eigenes Verständnis zu vertiefen | vermeidet Flüchtigkeitsfehler überwiegend | ist offen für alternative Lösungsansätze",1,0,1,755,3,0.423197,0.216018,0.221991,0.423277,0.427206,0.424788,0.427602,regulation,0.427602,1,0.999998,0,0.565528861448068,0.9895980032603051
1568,0,12,MAT,2025-09-01,Weitere Themen: Geografie,"nutzt selten erlaubte Hilfsmittel zum Lösen von Aufgaben | Beteiligung am Unterricht hat sich verbessert | ist oft fähig, Aufgaben ohne direkte Anleitung zu beginnen | kann Aufmerksamkeit während des Lernens lange aufrechterhalten | gibt nur manchmal zu erkennen, wenn er etwas nicht verstanden hat | Felix hat heute einen Vortrag über die Vereinigten Arabischen Emirate für Geografie erstellt.",1,0,12,1568,3,0.435271,0.241277,0.203037,0.410746,0.431894,0.42452,0.419089,kognition,0.435271,1,0.999998,0,0.7057861805023101,0.11639670582282137
1807,0,17,MAT,2025-09-01,Wortschatz: Vokabeln lernen,"erkennt und korrigiert eigene Fehler nur teilweise selbstständig | Notenentwicklung in den letzten Wochen unverändert | hat wenig Vertrauen in die eigenen Fähigkeiten | kann nur wenig geschickt zwischen Aufgaben wechseln, die unterschiedliche Lernbereiche abdecken | nutzt noch keine Fragen, um eigenes Verständnis zu vertiefen",1,0,22,1807,3,0.522483,0.101355,0.264411,0.365978,0.409841,0.433328,0.396408,kognition,0.522483,1,0.999998,2,1.374673576743871,-3.8090948650382663
321,1,3,MAT,2025-09-02,Grundrechenarten: schrftlSub,"nutzt vorhandene Hilfsmittel zum Lösen von Aufgaben effektiv | konnte in den vergangenen Wochen einige neue Lernstrategien durch die Nachhilfe entwickeln | wird von schwierigeren Aufgaben meistens motiviert | kann seine Motivation normalerweise trotz den Fehlern, die er macht, aufrechterhalten | kann gut nach einem festgelegten Zeitplan lernen | nm wdhlg sub / PrzR",2,1,1,321,3,0.423577,0.188199,0.316626,0.405805,0.42189,0.42029,0.406935,kognition,0.423577,1,0.999998,1,-0.6413251399239839,-0.4276876089226988
390,4,15,MAT,2025-09-02,Weitere Themen: Terme,"stellt häufig Fragen, die ein tieferes Verständnis für das aktuelle Thema zeigen | Fähigkeit zum Verstehen und Analysieren komplexer Sachverhalte hat sich über die letzten Wochen geringfügig verbessert | erholt sich schnell von Rückschlägen und Misserfolgen | hält Fristen für Hausaufgaben und Projekte konsequent ein | Fähigkeit zum kreativen Denken ist ausgeprägt",2,1,1,390,3,0.414975,0.167077,0.28432,0.426949,0.418241,0.422148,0.428508,regulation,0.428508,1,0.999998,0,-0.05452221324902227,1.1912066460577522
425,2,5,MAT,2025-09-02,Weitere Themen: Terme,"stellt häufig Fragen, die ein tieferes Verständnis für das aktuelle Thema zeigen | Fähigkeit zum Verstehen und Analysieren komplexer Sachverhalte hat sich über die letzten Wochen geringfügig verbessert | erholt sich schnell von Rückschlägen und Misserfolgen | hält Fristen für Hausaufgaben und Projekte konsequent ein | Fähigkeit zum kreativen Denken ist ausgeprägt",2,1,1,425,3,0.414975,0.167077,0.28432,0.426949,0.418241,0.422148,0.428508,regulation,0.428508,1,0.999998,0,-0.05452221324902227,1.1912066460577522
452,2,8,MAT,2025-09-02,Stochastik (Wahrscheinlichkeitsrechnung): komplÜb,kann Gelerntes gut auf andere Fächer oder den Alltag übertragen | Nachhilfe hat in letzter Zeit merklich zur Organisationsfähigkeit beigetragen | verfolgt Lernziele konsequent | bittet aktiv um Feedback | kann sich zuverlässig an früher Gelerntes erinnern und es nutzen | prima,2,1,1,452,3,0.443398,0.045263,0.274478,0.412037,0.433856,0.444299,0.413039,performanz,0.444299,1,0.999998,0,1.5498677197290684,-0.6781705075311382
556,2,9,PHY,2025-09-02,Weitere Themen: Terme,"fühlt sich ziemlich sicher bei der Anwendung des Gelernten in neuen Kontexten | Selbstständigkeit hat sich in den letzten Wochen verbessert | schafft normalerweise alle Aufgaben in einer Klassenarbeit oder Leistungskontrollen in der dafür angesetzten Zeit | formuliert Fragen verständlich | ist oft fähig, Aufgaben ohne direkte Anleitung zu beenden",2,1,1,556,3,0.399264,0.21066,0.333461,0.428467,0.399717,0.408126,0.418434,motivation,0.428467,1,0.999998,1,-1.7723634106046162,1.3905704555439944
865,0,6,MAT,2025-09-02,Weitere Themen: VorbLK,beherrscht die spezifischen Fachbegriffe hinreichend | Vorbereitung auf anstehende Tests hat sich etwas verbessert | bittet selten aktiv um Feedback | plant Lernaktivitäten eher selten im Voraus | zeigt überwiegend Geduld mit sich selbst und den eigenen Lernfortschritten,2,1,1,865,3,0.446493,0.105039,0.248906,0.399465,0.437434,0.461529,0.404627,performanz,0.461529,1,0.999998,2,1.6812285809520295,-1.4597765173738961
1478,2,7,MAT,2025-09-02,Wurzelfunktion/-rechnung: WFkt,versteht die Grundlagen des aktuellen Themas nur bedingt | Vorbereitung auf anstehende Tests hat sich etwas verbessert | ist allgemein nur wenig motiviert | kommuniziert seine Gedanken und Ideen teilweise verständlich und nachvollziehbar | kann nur vereinzelt logische Verbindungen zwischen verschiedenen Themen herstellen | macht was sie will,2,1,1,1478,3,0.47383,0.152119,0.197838,0.373034,0.453025,0.446314,0.411848,kognition,0.47383,1,0.999998,2,2.39197580287798,-2.4622071134496175
208,4,13,MAT,2025-09-03,Dezimalzahlen: GRA,"konnte Wissen in der heutigen Stunde teilweise erweitern | konnte in den vergangenen Wochen elementare neue Lernstrategien durch die Nachhilfe entwickeln | eher zurückhaltend gegenüber neuen Strategien oder Herangehensweisen beim Lernen, besonders nach Misserfolgen | schlägt gelegentlich sinnvolle Übungen oder Themen vor, an denen er arbeiten möchte | kann eigene Ideen erfolgreich umsetzen",3,2,1,208,3,0.443935,-0.116587,0.170669,0.425711,0.441568,0.440639,0.435686,kognition,0.443935,1,0.999998,0,3.6165417183102657,0.5965077466871844
754,3,2,MAT,2025-09-03,Geometrie: rechtwDr,"stellt häufig Fragen, die ein tieferes Verständnis für das aktuelle Thema zeigen | geht schulische Herausforderungen viel motivierter an | bearbeitet Aufgaben erfolgreich ohne ständige Anleitung | kann gut Kerninformationen aus (Sach-)Texten entnehmen | ist sehr motiviert, auch wenn Themen oder Aufgaben als schwierig empfunden werden",3,2,1,754,3,0.419592,0.219344,0.299946,0.413,0.412149,0.41486,0.416312,kognition,0.419592,1,0.999998,1,-0.9003672428447959,0.37263844709128735
864,3,6,MAT,2025-09-03,Algebra: VorbLK/DezZ,"stellt manchmal Fragen, die ein tieferes Verständnis für das aktuelle Thema zeigen | hat zuletzt deutlich von der individuellen Unterstützung in der Nachhilfe profitiert | braucht ab und zu Ermutigung, nach Misserfolgen | kann sich gut an Veränderungen im Lernumfeld anpassen | kann Zusammenhänge zwischen verschiedenen Informationen nur ausreichend erkennen",3,2,1,864,3,0.423909,-0.02093,0.165055,0.444814,0.427828,0.441149,0.465948,regulation,0.465948,1,0.999998,0,3.0843211285622556,2.7470708693005412
955,3,11,MAT,2025-09-03,Algebra: VorbLK/DezZ,"kann sein Wissen in Testsituationen bzw. unter Druck nur eingeschränkt anwenden | Selbstständigkeit hat sich in den letzten Wochen etwas verbessert | kann nur bedingt mit Stress umgehen, wenn Aufgaben schwieriger werden | ist oft fähig, Aufgaben ohne direkte Anleitung zu beenden | kann den eigenen Lösungsweg häufig nachvollziehbar mündlich präsentieren",3,2,1,955,3,0.415354,0.253803,0.308102,0.40322,0.410592,0.411872,0.409052,kognition,0.415354,1,0.999998,1,-1.474782813241893,-0.05508769567409148
1477,4,7,MAT,2025-09-03,Wurzelfunktion/-rechnung: komplÜb,"kann sein Wissen in Testsituationen bzw. unter Druck nur eingeschränkt anwenden | Einfluss der Nachhilfe auf die gesamte schulische Entwicklung spürbar positiv | muss regelmäßig an formale Vorgehensweisen erinnert werden | ist selten fähig, Aufgaben ohne direkte Anleitung zu beenden | zeigt nur selten Geduld mit sich selbst und den eigenen Lernfortschritten",3,2,1,1477,3,0.410289,0.225262,0.335825,0.407705,0.407709,0.410242,0.409133,kognition,0.410289,1,0.999998,1,-1.7044717560807172,0.1318652175774685
1567,4,12,MAT,2025-09-03,Dezimalzahlen: GRA,"kann erlerntes Wissen weitgehend in eigenen Worten wiedergeben | Beteiligung am Unterricht hat sich verbessert | kommt normalerweise aus eigener Motivation zur Nachhilfe | löst komplexe Aufgaben schnell | kann konstruktives Feedback gut umsetzen, um die eigene Leistung zu verbessern",3,2,1,1567,3,0.427322,0.273438,0.230103,0.41012,0.418516,0.422129,0.410035,kognition,0.427322,1,0.999998,1,-0.32364359817047816,0.0504950883824302
1755,0,18,MAT,2025-09-03,Exponentialgleichung/-funktion: expot.Wachstum Vorb. Test (Mo.),"nutzt immer die vermittelten Methoden | hat zuletzt erkennbar von der individuellen Unterstützung in der Nachhilfe profitiert | kann gut mit Druck umgehen, wenn Aufgaben schwieriger werden | wird von schwierigeren Aufgaben nur selten motiviert | löst komplexe Aufgaben eher langsam",3,2,19,1755,3,0.456047,0.153981,0.288417,0.378725,0.437093,0.445336,0.390278,kognition,0.456047,1,0.999998,2,0.6915601187278864,-2.7130398659094
2100,4,14,MAT,2025-09-03,Weitere Themen: VorbBLF,"kann neue Themen weitgehend mit bereits erlerntem Wissen verknüpfen | Ausdauer hat sich, vor allem hinsichtlich schwieriger oder umfangreicher Aufgaben, stark erhöht | kann sich problemlos an Veränderungen im Lernumfeld anpassen | zeigt sich sehr zielstrebig beim Erreichen von Lernzielen | nutzt stets abwechslungsreiche Formulierungen",3,2,1,2100,3,0.423838,0.217554,0.290119,0.412938,0.411257,0.417811,0.417902,kognition,0.423838,1,0.999998,1,-0.6948985311367846,0.35270316087198866
90,5,16,MAT,2025-09-04,Weitere Themen: vorbblf,kann sein Wissen in Testsituationen genauso gut wie im Unterricht anwenden | Ausdauer hat sich erhöht | setzt sich immer Ziele für die Nachhilfestunden | hält Fristen für Hausaufgaben und Projekte sehr konsequent ein | erholt sich sehr schnell von Rückschlägen und Misserfolgen,4,3,1,90,3,0.445239,0.194655,0.319923,0.388463,0.4268,0.429238,0.379751,kognition,0.445239,1,0.999998,1,-0.5433518517431263,-2.3684501525299484
358,5,15,MAT,2025-09-04,Potenzfunktion/-rechnung: komplÜb,"kann meistens der Aufgabenstellung entsprechend eine Antwort formulieren | Nachhilfe hat in letzter Zeit merklich zur Organisationsfähigkeit beigetragen | findet meistens Lösungen für unerwartete Fragen oder Aufgabenstellungen | kann umfangreiches Wissen in der Regel sinnvoll zusammenfassen | ist motiviert, auch wenn Themen oder Aufgaben als schwierig empfunden werden",4,3,1,358,3,0.407303,0.248564,0.324125,0.407794,0.408628,0.407887,0.409408,regulation,0.409408,1,0.999998,1,-1.7929703127605838,0.2562453050737107
451,0,8,MAT,2025-09-04,Stochastik (Wahrscheinlichkeitsrechnung): baumdiagr,"versteht die Grundlagen des aktuellen Themas größtenteils | hat in letzter Zeit ein deutlich besseres Verständnis für die Anforderungen der Lehrkraft in der Schule entwickelt | kann zur Lösung eines komplexen Problems meistens einzelne Zwischenschritte entwickeln | arbeitet durchgängig in einem angemessenen Tempo | nutzt regelmäßig Fragen, um eigenes Verständnis zu vertiefen",4,3,1,451,3,0.440968,0.055481,0.232762,0.423571,0.437741,0.435788,0.432836,kognition,0.440968,1,0.999998,0,2.100462694828691,0.5120495189147493
555,5,9,MAT,2025-09-04,Weitere Themen: dezz,"konnte Wissen in der heutigen Stunde weitgehend festigen | Ausdauer hat sich, vor allem hinsichtlich schwieriger oder umfangreicher Aufgaben, stark erhöht | kommuniziert seine Gedanken und Ideen sehr verständlich und nachvollziehbar | verhält sich sehr offen, wenn die Lehrkraft über Rückschläge sprechen will (bzw. wenn er selbst darüber sprechen soll) | zeigt ständig Interesse daran, neue Themen zu erkunden und zu lernen",4,3,1,555,3,0.405586,0.321545,0.288998,0.401676,0.405669,0.405757,0.397536,performanz,0.405757,1,0.999998,1,-2.2479543998225355,-0.09455965369597011
1754,5,18,MAT,2025-09-04,Weitere Themen: expwachs,"muss ab und zu an grundlegende Vorgehensweisen des Faches MAT erinnert werden | Prüfungsangst des Schülers hat sich geringfügig verringert | hat geplante Zeit überwiegend sinnvoll genutzt | erkennt Fehler und Korrekturen während des Unterrichts weitgehend als Chance zum Lernen | versteht überwiegend, dass es trotz (kleinen) Erfolgen wichtig sein kann, weiter zu üben",4,3,1,1754,3,0.436141,0.072004,0.173122,0.430559,0.428134,0.446015,0.454987,regulation,0.454987,1,0.999998,0,2.648944089445746,1.712438899434453
