id,gruppe_id,teilnehmer_id,fach,datum,thema,bemerkung,wochentag,day_number,lehrkraft_id,id_mtr_rueckkopplung_datenmaske,type,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,cluster_id,pca_1,pca_2
1568,0,12,MAT,2025-09-01,Weitere Themen: Geografie,"nutzt selten erlaubte Hilfsmittel zum Lösen von Aufgaben | Beteiligung am Unterricht hat sich verbessert | ist oft fähig, Aufgaben ohne direkte Anleitung zu beginnen | kann Aufmerksamkeit während des Lernens lange aufrechterhalten | gibt nur manchmal zu erkennen, wenn er etwas nicht verstanden hat | Felix hat heute einen Vortrag über die Vereinigten Arabischen Emirate für Geografie erstellt.",1,0,12,1568,3,0.435271,0.241277,0.203037,0.410746,0.431894,0.42452,0.419089,kognition,0.435271,1,0.999998,0,0.7843409512932645,-0.12172862849434812
1807,0,17,MAT,2025-09-01,Wortschatz: Vokabeln lernen,"erkennt und korrigiert eigene Fehler nur teilweise selbstständig | Notenentwicklung in den letzten Wochen unverändert | hat wenig Vertrauen in die eigenen Fähigkeiten | kann nur wenig geschickt zwischen Aufgaben wechseln, die unterschiedliche Lernbereiche abdecken | nutzt noch keine Fragen, um eigenes Verständnis zu vertiefen",1,0,22,1807,3,0.522483,0.101355,0.264411,0.365978,0.409841,0.433328,0.396408,kognition,0.522483,1,0.999998,0,1.4227832198986257,0.0746415877963754
1755,0,18,MAT,2025-09-03,Exponentialgleichung/-funktion: expot.Wachstum Vorb. Test (Mo.),"nutzt immer die vermittelten Methoden | hat zuletzt erkennbar von der individuellen Unterstützung in der Nachhilfe profitiert | kann gut mit Druck umgehen, wenn Aufgaben schwieriger werden | wird von schwierigeren Aufgaben nur selten motiviert | löst komplexe Aufgaben eher langsam",3,2,19,1755,3,0.456047,0.153981,0.288417,0.378725,0.437093,0.445336,0.390278,kognition,0.456047,1,0.999998,0,0.8103054786086203,0.3462630393856024
735,0,4,MAT,2025-09-08,weitere Themen: Erörterung,Absprachen einhaltendbeteiligt sich / gute Mitarbeitfleißig / bemühtarbeitet selbstständigunkonzentriertvorbereitetfähig zu TransferdenkenBasiswissen vorhanden,1,0,21,735,3,0.59,0.52,0.32,0.57,0.46,0.61,0.41,performanz,0.61,1,1.340746,1,6.933599343582731,9.147575020927551
1805,0,17,MAT,2025-09-08,Fragewörter: W-Fragen,Absprachen einhaltendbeteiligt sich / gute Mitarbeitfleißig / bemühtarbeitet selbstständigunkonzentriertvorbereitetfähig zu Transferdenken,1,0,21,1805,3,0.58,0.51,0.3,0.56,0.45,0.6,0.4,performanz,0.6,1,1.312479,1,6.268922799188926,8.823230521563854
1753,0,18,MAT,2025-09-10,Prüfungsvorbereitung: BLF Teil B,konnte Wissen in der heutigen Stunde deutlich erweitern | konnte in den vergangenen Wochen einige neue Lernstrategien durch die Nachhilfe entwickeln | kann den eigenen Lösungsweg häufig nachvollziehbar schriftlich präsentieren | erklärt komplexe Sachverhalte meistens in einer logischen Reihenfolge | teilt sich die eigene Lernzeit weniger angemessen ein,3,2,19,1753,3,0.432215,0.107557,0.23605,0.423186,0.436229,0.435773,0.431993,methodik,0.436229,1,0.999998,0,1.5248100306918027,-0.5182334153317089
449,0,8,MAT,2025-09-11,Statistik: Übungsaufgaben zur Arbeit mit Statistiken,"kann Gelerntes sehr gut auf andere Fächer oder den Alltag übertragen | hat in letzter Zeit ein besseres Verständnis für die Anforderungen der Lehrkraft in der Schule entwickelt | versteht vollkommen, dass es trotz (kleinen) Erfolgen wichtig sein kann, weiter zu üben | verhält sich offen, wenn die Lehrkraft über Rückschläge sprechen will (bzw. wenn er selbst darüber sprechen soll) | kann komplexe Informationen verständlich mit eigenen Worten erklären",4,3,18,449,3,0.413741,0.142176,0.343267,0.413878,0.41601,0.421495,0.410794,performanz,0.421495,1,0.999998,2,-0.8085653956272941,0.15684708433006686
1899,6,22,PHY,2025-09-11,Analysis: Bestimmen des Definitionsbereichs und Nullstellen von Funktionen,"kann mittlerweile zuvor schwierige Aufgaben teilweise bewältigen | Zuverlässigkeit bei den Hausaufgaben hat sich verbessert | zeigt ständig Interesse daran, neue Themen zu erkunden und zu lernen | Wechsel zwischen verschiedenen Themen gelingt mit wenig Aufwand | vermeidet die Wiederholung von zuvor gemachten Fehlern erfolgreich",4,3,18,1899,3,0.423288,0.170489,0.321589,0.416625,0.412891,0.419604,0.410139,kognition,0.423288,1,0.999998,2,-0.6833461664127686,0.3363669316733091
1564,0,12,MAT,2025-09-15,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | konnte in den vergangenen Wochen einige neue Lernstrategien durch die Nachhilfe entwickeln | bereitet sich meistens auf Aufgaben vor, die wahrscheinlich in einer Klassenarbeit oder Leistungskontrolle vorkommen | kann sich gut auf eine Aufgabe konzentrieren, auch wenn diese als zu leicht empfunden wird | gibt oft zu erkennen, wenn er etwas nicht verstanden hat | Da Felix in der 8. Klasse noch kein Matheunterricht hatte, haben wir angefangen, Themen aus Klasse 8 zu behandeln. Dies hat sehr gut geklappt nach anfänglicher Erklärung.",1,0,12,1564,3,0.463271,0.109223,0.160776,0.381611,0.411643,0.503689,0.42287,performanz,0.503689,1,0.999999,0,2.5493231608474534,-0.695136746711477
1803,0,17,MAT,2025-09-15,Wortschatz: Vokabeln: shops,"erkennt und korrigiert eigene Fehler nur teilweise selbstständig | konnte in den vergangenen Wochen elementare neue Lernstrategien durch die Nachhilfe entwickeln | erkennt nur gelegentlich, dass ein bereits besprochener Lösungsansatz erneut benötigt wird | kann nur bedingt nach einem festgelegten Zeitplan lernen | braucht noch häufig Unterstützung bei der Anwendung neuer Lösungsansätze",1,0,22,1803,3,0.438158,-0.031093,0.210347,0.430464,0.437544,0.439566,0.439135,performanz,0.439566,1,0.999998,0,2.541311353917805,-1.1738384833621096
