analysegruppe,lk_group,teilnehmer_id,n,gruppe_id,first_date,last_date,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,d_mean,d_std,positive_share,negative_share,cluster
Lehrkraft 1,Lehrkraft 1,2,76,"0,1,3",2024-11-13,2026-01-21,0.6484269300897297,0.42958010909186833,0.4229038744767561,0.5996422505895364,0.5233242173745081,0.6352751453106672,0.5108415924846085,1.4533209138874081,0.40644823484596976,1.0,0.0,1
Lehrkraft 1,Lehrkraft 1,3,5,1,2025-11-11,2025-12-09,0.43690454605806195,0.1599388168264926,0.2327677200473878,0.40792216538112597,0.421340361193596,0.43409936701723206,0.422595678959782,0.99999827864323,3.824537039768966e-08,1.0,0.0,0
Lehrkraft 1,Lehrkraft 1,4,11,"0,3,7",2025-09-02,2025-11-28,0.44687093861009275,0.15369080990161102,0.25255056381700725,0.3986331091854391,0.4260094492872554,0.43169553443815095,0.4085990942038336,0.9999982671763241,8.147972506131037e-08,1.0,0.0,0
Lehrkraft 1,Lehrkraft 1,5,7,"2,6",2025-11-11,2025-12-10,0.42216139181498574,0.20887506129098,0.29031476807513285,0.4051127048854785,0.4072469209691443,0.4344192152584286,0.4102030848740671,0.9999983196124909,4.9439645375015546e-08,1.0,0.0,0
Lehrkraft 1,Lehrkraft 1,6,62,"0,3,7",2025-02-12,2026-01-21,0.6364040280926809,0.4264380411166064,0.4095966558476653,0.5856701374707823,0.5142187150883921,0.6124220424413755,0.507152203888855,1.4237019990584514,0.36139480640372296,1.0,0.0,1
Lehrkraft 1,Lehrkraft 1,7,15,"2,4",2025-08-26,2025-12-10,0.42888284932031534,0.18169760206589428,0.27244948245687134,0.40617597135087197,0.4221364897652146,0.4246227669095767,0.414535052940522,0.9999982815729348,4.9897307736614906e-08,1.0,0.0,0
Lehrkraft 1,Lehrkraft 1,8,46,"0,2,11",2025-02-04,2025-12-09,0.702604884639311,0.4739113957568204,0.45415273451854704,0.6358554876518884,0.5614442942450526,0.6685344903559224,0.5450470888028878,1.5544068768934176,0.4463401378276729,1.0,0.0,2
Lehrkraft 1,Lehrkraft 1,9,10,"2,5",2025-11-11,2025-12-11,0.426096467411819,0.202834282792305,0.280502123641583,0.410704260524149,0.41917508892864896,0.4222310808244,0.41025570533512495,0.9999982937392812,3.314860889853854e-08,1.0,0.0,0
Lehrkraft 1,Lehrkraft 1,10,52,"0,3,5",2025-02-26,2025-12-04,0.7301809219864954,0.5276399630674067,0.49117859890105137,0.6690527732032817,0.5633493431388665,0.6930116813958672,0.5563236516108733,1.6193035170483812,0.30379468601347875,1.0,0.0,2
Lehrkraft 1,Lehrkraft 1,11,7,"3,7",2025-11-14,2026-01-21,0.4304667158028943,0.16505815152477102,0.24242657534526715,0.4009082023750743,0.42293978157277995,0.4548633444582343,0.4161661387914486,0.9999983425303492,1.2278186511548046e-07,1.0,0.0,0
Lehrkraft 1,Lehrkraft 1,12,28,"0,4",2025-01-29,2025-12-10,0.6483893106490167,0.45131310824203713,0.4361894434688464,0.6068027662478118,0.528189995549815,0.6246668111505947,0.5245726728155932,1.4638695225167047,0.41943303822478034,1.0,0.0,1
Lehrkraft 1,Lehrkraft 1,13,8,"0,2,4",2025-08-27,2025-12-01,0.42934337979411125,0.1239234024893475,0.2556647847527375,0.4142456548145975,0.4262597511733063,0.4278481061972512,0.42295483236502623,0.9999982658139024,4.590959676765025e-08,1.0,0.0,0
Lehrkraft 1,Lehrkraft 1,15,6,"0,4,5",2025-11-11,2025-12-11,0.424666860024405,0.19078761040749317,0.2858406680403383,0.4099138584074384,0.4189989277985217,0.4228222534498,0.41494478918542166,0.9999982938279891,2.839305029091068e-08,1.0,0.0,0
Lehrkraft 1,Lehrkraft 1,17,4,6,2025-04-17,2025-05-15,0.7725,0.5874999999999999,0.52,0.7024999999999999,0.58,0.73,0.5700000000000001,1.702957636768259,0.03578244211278196,1.0,0.0,2
Lehrkraft 1,Lehrkraft 1,20,58,"0,2,7",2024-11-18,2026-01-16,0.6414366332464838,0.44334185795860565,0.4298474112835024,0.593011816890697,0.5200789347515229,0.6157985918026124,0.5119604565106347,1.442411675726453,0.34967264695204625,1.0,0.0,1
Lehrkraft 1,Lehrkraft 1,23,30,"0,2",2024-11-18,2025-12-08,0.6500303125661309,0.4160505578082196,0.3900882672948759,0.6004823163341498,0.5395872793152215,0.5945761357167011,0.53812962321003,1.482667694601721,0.46871487797315314,0.9666666666666667,0.03333333333333333,1
Lehrkraft 1,Lehrkraft 1,24,7,"2,7",2025-09-19,2026-01-16,0.43005131959299575,0.17662795383964816,0.27997581479561573,0.40786381122192145,0.4209633583969929,0.4277376024772729,0.41459248942065996,0.9999982757618958,5.4681547271210736e-08,1.0,0.0,0
Lehrkraft 1,Lehrkraft 1,40,2,1,2025-11-03,2025-11-10,0.43502976626243,0.178833453827097,0.251457337576395,0.407816985775425,0.429124616438715,0.42462894877199,0.42026286302731497,0.999998272870985,2.442013677969114e-08,1.0,0.0,0
Lehrkraft 1,Lehrkraft 1,43,8,1,2025-11-03,2026-01-19,0.41992382965527997,0.15611412935416563,0.25221001007077876,0.42367734700556375,0.41581990265877,0.42876261157352624,0.42999066038953626,0.9999982810400295,2.7496993735177163e-08,1.0,0.0,0
Lehrkraft 1,Lehrkraft 1,45,5,4,2025-11-11,2025-12-09,0.41310599359754796,0.1796992072876698,0.29698042448934603,0.415749227613112,0.41073107497740197,0.43350392517292,0.41103490427219197,0.9999982974374746,3.7059207749517456e-08,1.0,0.0,0
Lehrkraft 1,Lehrkraft 1,47,3,0,2025-12-02,2025-12-09,0.43057847042972,0.15106887876444533,0.2601546451774133,0.4116611351349033,0.42874099098292,0.42992509211132,0.41744248617282004,0.9999982742519209,3.070223213364863e-08,1.0,0.0,0
Nicht Lehrkraft 1,Nicht Lehrkraft 1,2,11,"0,1,3",2024-12-16,2025-10-13,0.5464209831283382,0.4400262376217418,0.24442214649418226,0.5007228126070836,0.42153021318088635,0.5780699669635573,0.43997476386251544,1.635098254495888,0.46810489097215796,0.9090909090909091,0.09090909090909091,2
Nicht Lehrkraft 1,Nicht Lehrkraft 1,3,3,1,2026-01-06,2026-01-27,0.42838204313246003,0.21553325552024902,0.23344034523013668,0.40852029428768,0.4241777178118067,0.42310867019775,0.4221863455365067,0.999998289077626,4.368733948756205e-08,1.0,0.0,0
Nicht Lehrkraft 1,Nicht Lehrkraft 1,4,4,0,2025-09-01,2025-12-18,0.46083051412946496,0.29650347192034504,0.2874207807579,0.450558518432265,0.426703684294895,0.46700688591034,0.41790909881535,1.0851852315587287,0.17037388627254768,1.0,0.0,0
Nicht Lehrkraft 1,Nicht Lehrkraft 1,5,3,"2,6",2025-12-17,2026-01-07,0.4359629199115033,0.12307237536673733,0.26705562013852663,0.42611357346522666,0.41391835870874333,0.4381671737716967,0.41634191911328,0.9999984034320503,2.524133238175446e-07,1.0,0.0,0
Nicht Lehrkraft 1,Nicht Lehrkraft 1,6,18,"0,3,7",2025-02-14,2026-01-28,0.49745700540423055,0.2765622893774717,0.2651058680807411,0.4419370828604333,0.43248125565950724,0.49035647788462217,0.4331329131698117,1.1311293241172535,0.37622964007763426,1.0,0.0,0
Nicht Lehrkraft 1,Nicht Lehrkraft 1,7,3,4,2026-01-07,2026-01-21,0.42885078410931005,0.21657638562751336,0.25283189241748333,0.39557034372688,0.4174530780443933,0.4331877308173,0.4226042561002334,0.9999982709000955,3.6751403353744254e-08,1.0,0.0,0
Nicht Lehrkraft 1,Nicht Lehrkraft 1,8,43,"0,2,11",2025-02-06,2026-01-29,0.5905286671455353,0.340782898752939,0.3685933594377767,0.5565272965890676,0.5035636957616977,0.5801278029047008,0.5235167252660015,1.3521670309074714,0.4802504551708921,1.0,0.0,2
Nicht Lehrkraft 1,Nicht Lehrkraft 1,9,11,"2,5",2025-12-16,2026-01-29,0.43336636037683274,0.16370423080020782,0.2559175811760009,0.40652047193260277,0.42228347262744814,0.43074295353206454,0.42143700538225093,0.9999982779626257,6.718285657198007e-08,1.0,0.0,0
Nicht Lehrkraft 1,Nicht Lehrkraft 1,10,2,"3,5",2025-03-26,2025-04-10,0.765,0.5800000000000001,0.505,0.685,0.565,0.71,0.5449999999999999,1.6634132078467605,0.12334099043668133,1.0,0.0,1
Nicht Lehrkraft 1,Nicht Lehrkraft 1,11,6,"3,7",2025-12-12,2026-01-28,0.4215253355502317,0.21784399506610333,0.23002104520972166,0.41746646470957666,0.41788658396940503,0.4232580375270767,0.42255813227041333,0.9999982747331493,2.9656140891929587e-08,1.0,0.0,0
Nicht Lehrkraft 1,Nicht Lehrkraft 1,12,98,"0,4",2024-01-31,2026-01-28,0.717211904171435,0.3989254327624735,0.3496628080645403,0.5933017141135601,0.5405606075186046,0.6714993349957576,0.5205526495889843,1.6376766529295477,0.670707078845455,0.9081632653061225,0.09183673469387756,1
Nicht Lehrkraft 1,Nicht Lehrkraft 1,13,8,"0,4",2024-12-18,2026-01-28,0.5147676807808863,0.2669465893987956,0.31884026773854235,0.47234140806943625,0.46246135429538626,0.5271239519748675,0.450927301759415,1.1747673511725234,0.4943214434155466,1.0,0.0,2
Nicht Lehrkraft 1,Nicht Lehrkraft 1,15,5,"0,5",2025-12-12,2026-01-29,0.428113228195356,0.19915090787829398,0.286585230096836,0.39760347571405597,0.42034632808041195,0.43122829925366596,0.41562551038279205,0.9999983122017472,1.8823726994646642e-08,1.0,0.0,0
Nicht Lehrkraft 1,Nicht Lehrkraft 1,17,6,"0,6",2025-04-07,2025-05-12,0.7183333333333333,0.5633333333333334,0.4533333333333333,0.6466666666666666,0.5183333333333333,0.6683333333333333,0.4916666666666667,1.5547142997912564,0.14627417827320177,1.0,0.0,1
Nicht Lehrkraft 1,Nicht Lehrkraft 1,20,10,"0,2,7",2024-12-20,2026-01-28,0.7113044009972771,0.441389655647379,0.37924735034994106,0.587810135555199,0.582652912238775,0.637894822042115,0.516282520487664,1.5057163431019993,0.5501284754727322,1.0,0.0,1
