gruppe,lag,weighted_spearman_r,n_pairs
LK_1,0,-0.025739997947016806,825
LK_1,1,0.2534917653358961,824
LK_1,2,-0.001868577429394877,823
LK_1,3,0.007610465158077238,822
LK_1,4,-0.035317256010513026,821
LK_1,5,0.008713406989807368,820
LK_1,6,0.028721413711366335,819
LK_other,0,-0.007530702311701159,425
LK_other,1,0.3139578008704991,417
LK_other,2,-0.031050884166353186,409
LK_other,3,-0.024833565554104466,396
LK_other,4,-0.06702678263018899,389
LK_other,5,0.04693752854681895,377
LK_other,6,-0.022749768765304226,371
