gruppe,datum,lehrkraft_id,id,mtr_rueckkopplung_datenmaske_values_id,token_anzahl,funktionsklassen_anzahl_gesamt,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,kognition,sozial,affektiv,motivation,methodik,performanz,regulation
LK_1,2025-09-01,1,61,62,7,5,kognition,1.8188876471567,1,3.5729304536374,1.8188876471567,1.5,0.14020651573357,1.3816714752841,1.1247637776873,1.4920627396242,1.3369596277788
LK_1,2025-09-01,1,128,181,7,4,motivation,1.6294014575425,1,3.4965039781999,1.5494794089229,1.0667700541619,1.2143728958767,1.6294014575425,1.0783884285835,1.5747230009845,0.95620631122221
LK_1,2025-09-01,1,166,248,11,6,motivation,2.069379885315,1,4.5339339963113,1.5683794462265,1.5614971628556,1.7428047151058,2.069379885315,1.3906573823153,1.676434026833,1.8958928292239
LK_1,2025-09-01,1,168,250,8,7,regulation,2.3371925602628,1,4.7275916595967,2.1979767777828,0.37061934137972,0.44056328863695,1.8893691294467,1.942968303271,2.0929060366262,2.3371925602628
LK_1,2025-09-01,1,242,375,9,5,kognition,2.2065262410316,1,3.9027212950711,2.2065262410316,0.30051506820394,1.1795308876966,1.2467162179745,1.6755727127168,1.6994290791481,1.2770938080566
LK_1,2025-09-01,1,244,377,5,5,performanz,1.7604404508269,1,3.1211655051097,1.142816140348,0.63138282916163,0.81095667845437,1.5108717263958,0.80238847845301,1.7604404508269,1.1634599879125
LK_1,2025-09-01,1,804,1182,9,5,kognition,2.2065262410316,1,3.9027212950711,2.2065262410316,0.30051506820394,1.1795308876966,1.2467162179745,1.6755727127168,1.6994290791481,1.2770938080566
LK_1,2025-09-01,1,805,1183,8,7,regulation,2.3371925602628,1,4.7275916595967,2.1979767777828,0.37061934137972,0.44056328863695,1.8893691294467,1.942968303271,2.0929060366262,2.3371925602628
LK_1,2025-09-01,1,806,1184,2,2,regulation,1.093651904426,1,1.6032426194262,0.38532339625734,0.397,0.353,0.68310328427165,0.361,0.58878620228737,1.093651904426
LK_other,2025-09-01,12,2358,2936,6,4,performanz,1.4780206620485,1,3.1813676431278,1.3901781638681,1.0,0.14947056594351,1.3684649877052,1.2462230879908,1.4780206620485,1.2473370908871
LK_other,2025-09-01,22,2743,3454,6,6,performanz,1.5050743776411,1,3.084891476574,1.4500639452431,0.20031726631934,0.72454824024887,1.3021815084288,1.0808265444839,1.5050743776411,1.3113585455263
LK_other,2025-09-01,22,2745,3456,6,3,kognition,1.497714368025,1,2.4666707187762,1.497714368025,0.5724,0.89237862229484,0.72,1.0820642699131,0.83094174003236,0.58104
LK_1,2025-09-02,1,291,457,4,3,kognition,1.1445707517198,1,2.5532415782961,1.1445707517198,0.83209190615359,1.0582176518976,1.0466564857278,0.92081749463506,0.86021364709414,0.84465178398232
LK_1,2025-09-02,1,292,458,11,6,motivation,1.8055393584743,1,2.9163877508142,0.59657591963787,0.795,1.0295986767418,1.8055393584743,0.5721813301263,0.98507068886581,1.378255469226
LK_1,2025-09-02,1,394,596,7,4,motivation,1.1072793378206,1,2.1979164244121,0.42616534321614,0.795,0.92752683729634,1.1072793378206,0.49701404885009,0.98239075680094,0.84776563935454
LK_1,2025-09-02,1,395,597,8,4,kognition,1.9988088236145,1,3.4148756521686,1.9988088236145,0.56638355152076,0.89991269496936,1.1504321402777,1.4565930020033,1.3513275390163,1.1243942457347
LK_1,2025-09-02,1,436,646,7,4,motivation,1.1072793378206,1,2.1979164244121,0.42616534321614,0.795,0.92752683729634,1.1072793378206,0.49701404885009,0.98239075680094,0.84776563935454
LK_1,2025-09-02,1,437,647,8,4,kognition,1.9988088236145,1,3.4148756521686,1.9988088236145,0.56638355152076,0.89991269496936,1.1504321402777,1.4565930020033,1.3513275390163,1.1243942457347
LK_1,2025-09-02,1,517,736,9,5,kognition,2.2065262410316,1,3.9027212950711,2.2065262410316,0.30051506820394,1.1795308876966,1.2467162179745,1.6755727127168,1.6994290791481,1.2770938080566
LK_1,2025-09-02,1,593,865,11,6,performanz,2.1839343719722,1,4.6687650182457,1.9397461854947,0.795,1.0844387503441,2.0390133560675,1.8030223901748,2.1839343719722,2.0121343348373
LK_1,2025-09-02,1,594,866,8,4,kognition,1.752927244018,1,3.2645506643148,1.752927244018,0.397,0.63433190518851,0.8822146372641,1.3812460852249,1.4446608439128,1.5004541922468
LK_1,2025-09-02,1,898,1335,10,4,kognition,1.8475873540776,1,3.0085001511033,1.8475873540776,0.71676731274779,1.0424941465143,1.112390975663,1.1383091496832,1.1713810784546,0.36283559383087
LK_1,2025-09-02,1,1999,2572,8,3,kognition,2.1046227351488,1,3.4246644235568,2.1046227351488,1.0,0.52154960746563,1.0,1.7098425479452,1.2050166077111,0.807
