day_delta_tn_minus_lk,count,mean,std
-43,8,0.8708521478478704,0.06429947048607834
-42,28,0.8838280392865735,0.05359264854930922
-36,10,0.8562482233032647,0.07159799890425299
-35,29,0.8728734292747985,0.04639050952080361
-34,1,0.9142480825883034,
-29,9,0.8685753603251455,0.05681628639130703
-28,31,0.8713611295179332,0.042340239595625453
-22,9,0.848729405638935,0.05575394094060681
-21,33,0.8823161578016612,0.04931635357445792
-15,11,0.8472936417623838,0.054887594638917396
-14,43,0.8827157171449569,0.05316130278775697
-8,11,0.8632796416526922,0.05299604213637115
-7,45,0.8834531861633266,0.04819618363799124
-1,15,0.8749879085260182,0.03682813319801817
0,70,0.8468648815353573,0.2208131652407239
1,1,0.8568412064545204,
6,14,0.8481835736998639,0.06959545297826693
7,52,0.8917333066569701,0.049734092004235675
13,12,0.8696543152264805,0.045291589002554096
14,50,0.8813753216350316,0.05622299629015188
20,11,0.8770256031567526,0.06866822214039268
21,38,0.8899876124891172,0.04760489933606216
27,11,0.8864416180719829,0.065068181310992
28,32,0.8935913055142369,0.04834978206852788
34,9,0.8731756037273476,0.057483213745040854
35,27,0.8972836246997731,0.051609186259521475
41,7,0.8564055468531729,0.05773475339662807
42,23,0.8862786647302875,0.04159499171618942
48,2,0.8280466635650379,0.009235265622722106
49,1,0.8723286455209271,
55,3,0.8885405864868835,0.03459124796190187
56,5,0.8724508137266671,0.06085285197013358
62,3,0.8813228356529267,0.00766332562742858
63,4,0.879578067513046,0.05324302976998957
69,2,0.844573157093929,0.08068123558648906
70,3,0.851004083112001,0.03905862947376798
76,1,0.9080489010251284,
77,1,0.8215246379658973,
84,1,0.8013144797388866,
