pair_id,strategies,teilnehmer_id,gruppe_id,lehrer_datum,teilnehmer_datum,day_delta_tn_minus_lk,abs_day_delta,recursive_lag_rank,ue_match,dominance_match,polarity_match,cosine_similarity,cosine_klasse,match_score,lehrer_dichte,teilnehmer_dichte,dichte_delta_lk_minus_tn,lk_dominante_dimension,tn_dominante_dimension,emotion_valenz,emotion_aktivierung,lk_kognition,tn_kognition,delta_kognition,lk_sozial,tn_sozial,delta_sozial,lk_affektiv,tn_affektiv,delta_affektiv,lk_motivation,tn_motivation,delta_motivation,lk_methodik,tn_methodik,delta_methodik,lk_performanz,tn_performanz,delta_performanz,lk_regulation,tn_regulation,delta_regulation
LK00001__TN00044,recursive_lag_2;semantic_neighborhood,2,1,2025-09-01,2025-09-22,21,21,2.0,False,False,True,0.9254827161084525,hoch,0.6296901233229354,3.51701978511588,1.7119970175957,1.8050227675201802,regulation,performanz,0.8025,0.53125,0.41854915928882397,0.34052554827604,0.07802361101278399,0.19358705479895122,0.40721032196347,-0.2136232671645188,0.16367336862075338,0.41034401598141,-0.24667064736065664,0.40585893265774403,0.36254652589155,0.04331240676619402,0.360363039237032,0.39350781760059,-0.033144778363558,0.419631292273118,0.41567123029248,0.00396006198063803,0.47334668344048597,0.30127883164279,0.17206785179769596
LK00001__TN00071,recursive_lag_3;semantic_neighborhood,2,1,2025-09-01,2025-09-29,28,28,3.0,False,False,True,0.864448467008594,hoch,0.6127410138250953,3.51701978511588,1.2419268644262,2.27509292068968,regulation,methodik,0.175,0.75,0.41854915928882397,0.24327331019672,0.17527584909210397,0.19358705479895122,0.46616864852374,-0.2725815937247888,0.16367336862075338,0.30412636461736,-0.1404529959966066,0.40585893265774403,0.41602020300073,-0.010161270342985973,0.360363039237032,0.57635396544753,-0.21599092621049804,0.419631292273118,0.16104007858093,0.258591213692188,0.47334668344048597,0.31594529702544,0.15740138641504597
LK00001__TN00025,recursive_lag_1,2,1,2025-09-01,2025-09-15,14,14,1.0,False,False,True,0.7439479123659782,mittel,0.5814663884109431,3.51701978511588,0.95914367859819,2.55787610651769,regulation,methodik,-0.125,0.50833333333333,0.41854915928882397,0.40372892069248,0.01482023859634396,0.19358705479895122,0.5439634765183,-0.3503764217193488,0.16367336862075338,0.015754041789359,0.1479193268313944,0.40585893265774403,0.2094750462734,0.19638388638434404,0.360363039237032,0.62555799799604,-0.26519495875900795,0.419631292273118,0.32490221601345,0.09472907625966803,0.47334668344048597,-0.0097184903260099,0.4830651737664959
LK00055__TN00025,exact_sync;temporal_window;recursive_lag_1;semantic_neighborhood,2,1,2025-09-15,2025-09-15,0,0,1.0,False,False,True,0.7806379813628087,hoch,0.7896754448747725,3.76502857314224,0.95914367859819,2.8058848945440498,kognition,methodik,-0.125,0.50833333333333,0.47403068864816394,0.40372892069248,0.07030176795568394,0.1514091362629702,0.5439634765183,-0.3925543402553298,0.14765424006864122,0.015754041789359,0.13190019827928223,0.39271353078555,0.2094750462734,0.18323848451215,0.42221294011534605,0.62555799799604,-0.2033450578806939,0.44547294462210196,0.32490221601345,0.12057072860865198,0.39475134295153,-0.0097184903260099,0.40446983327753994
LK00055__TN00098,semantic_neighborhood,2,1,2025-09-15,2025-10-20,35,35,,False,True,True,0.9504414260889131,hoch,0.7363731071622717,3.76502857314224,1.8242888017872,1.9407397713550398,kognition,kognition,0.474,0.4,0.47403068864816394,0.48751146242244,-0.013480773774276034,0.1514091362629702,0.39896428999868,-0.2475551537357098,0.14765424006864122,0.26622519474385,-0.11857095467520876,0.39271353078555,0.27291664955577,0.11979688122978,0.42221294011534605,0.3865962213972,0.035616718718146034,0.44547294462210196,0.45637408850117,-0.010901143879068043,0.39475134295153,0.3163333198404,0.07841802311113005
LK00055__TN00044,recursive_lag_2;semantic_neighborhood,2,1,2025-09-15,2025-09-22,7,7,2.0,False,False,True,0.9165862681431156,hoch,0.6464556173122378,3.76502857314224,1.7119970175957,2.05303155554654,kognition,performanz,0.8025,0.53125,0.47403068864816394,0.34052554827604,0.13350514037212396,0.1514091362629702,0.40721032196347,-0.2558011857004998,0.14765424006864122,0.41034401598141,-0.26268977591276876,0.39271353078555,0.36254652589155,0.030167004893999982,0.42221294011534605,0.39350781760059,0.028705122514756043,0.44547294462210196,0.41567123029248,0.029801714329621976,0.39475134295153,0.30127883164279,0.09347251130874001
LK00055__TN00071,recursive_lag_3;semantic_neighborhood,2,1,2025-09-15,2025-09-29,14,14,3.0,False,False,True,0.8528761624715264,hoch,0.6114216571899689,3.76502857314224,1.2419268644262,2.52310170871604,kognition,methodik,0.175,0.75,0.47403068864816394,0.24327331019672,0.23075737845144395,0.1514091362629702,0.46616864852374,-0.3147595122607698,0.14765424006864122,0.30412636461736,-0.15647212454871876,0.39271353078555,0.41602020300073,-0.023306672215180013,0.42221294011534605,0.57635396544753,-0.154141025332184,0.44547294462210196,0.16104007858093,0.28443286604117196,0.39475134295153,0.31594529702544,0.07880604592609003
LK00080__TN00044,exact_sync;temporal_window;recursive_lag_1;semantic_neighborhood,2,1,2025-09-22,2025-09-22,0,0,1.0,False,False,True,0.8889580847909911,hoch,0.8194634733175227,3.6104835920823,1.7119970175957,1.8984865744866,kognition,performanz,0.8025,0.53125,0.542894483891774,0.34052554827604,0.202368935615734,0.08104951881704839,0.40721032196347,-0.3261608031464216,0.16023334433337202,0.41034401598141,-0.250110671648038,0.329272657265898,0.36254652589155,-0.033273868625652014,0.419586832882788,0.39350781760059,0.02607901528219797,0.489553102612916,0.41567123029248,0.07388187232043603,0.340286657580886,0.30127883164279,0.039007825938095986
LK00080__TN00098,recursive_lag_3;semantic_neighborhood,2,1,2025-09-22,2025-10-20,28,28,3.0,False,True,True,0.9384571958129531,hoch,0.733093414246294,3.6104835920823,1.8242888017872,1.7861947902950999,kognition,kognition,0.474,0.4,0.542894483891774,0.48751146242244,0.05538302146933399,0.08104951881704839,0.39896428999868,-0.3179147711816316,0.16023334433337202,0.26622519474385,-0.10599185041047796,0.329272657265898,0.27291664955577,0.056356007710128,0.419586832882788,0.3865962213972,0.03299061148558796,0.489553102612916,0.45637408850117,0.03317901411174601,0.340286657580886,0.3163333198404,0.023953337740486025
LK00080__TN00071,recursive_lag_2;semantic_neighborhood,2,1,2025-09-22,2025-09-29,7,7,2.0,False,False,True,0.7970484201571557,hoch,0.6135827091160988,3.6104835920823,1.2419268644262,2.3685567276560997,kognition,methodik,0.175,0.75,0.542894483891774,0.24327331019672,0.299621173695054,0.08104951881704839,0.46616864852374,-0.3851191297066916,0.16023334433337202,0.30412636461736,-0.14389302028398795,0.329272657265898,0.41602020300073,-0.08674754573483201,0.419586832882788,0.57635396544753,-0.15676713256474206,0.489553102612916,0.16104007858093,0.328513024031986,0.340286657580886,0.31594529702544,0.024341360555446
