pair_id,strategies,teilnehmer_id,gruppe_id,lehrer_datum,teilnehmer_datum,day_delta_tn_minus_lk,abs_day_delta,recursive_lag_rank,ue_match,dominance_match,polarity_match,cosine_similarity,cosine_klasse,match_score,lehrer_dichte,teilnehmer_dichte,dichte_delta_lk_minus_tn,lk_dominante_dimension,tn_dominante_dimension,emotion_valenz,emotion_aktivierung,lk_kognition,tn_kognition,delta_kognition,lk_sozial,tn_sozial,delta_sozial,lk_affektiv,tn_affektiv,delta_affektiv,lk_motivation,tn_motivation,delta_motivation,lk_methodik,tn_methodik,delta_methodik,lk_performanz,tn_performanz,delta_performanz,lk_regulation,tn_regulation,delta_regulation
LK00001__TN00044,recursive_lag_2;semantic_neighborhood,2,1,2025-09-01,2025-09-22,21,21,2.0,False,False,True,0.9254827161084525,hoch,0.6296901233229354,3.51701978511588,1.7119970175957,1.8050227675201802,regulation,performanz,0.8025,0.53125,0.41854915928882397,0.34052554827604,0.07802361101278399,0.19358705479895122,0.40721032196347,-0.2136232671645188,0.16367336862075338,0.41034401598141,-0.24667064736065664,0.40585893265774403,0.36254652589155,0.04331240676619402,0.360363039237032,0.39350781760059,-0.033144778363558,0.419631292273118,0.41567123029248,0.00396006198063803,0.47334668344048597,0.30127883164279,0.17206785179769596
LK00002__TN00004,recursive_lag_1;semantic_neighborhood,16,2,2025-09-01,2025-09-08,7,7,1.0,False,False,True,0.8663975374146423,hoch,0.6326537163619076,4.01059824775386,1.9266454054326,2.08395284232126,kognition,methodik,0.75,0.6,0.507263992056734,0.25841410088398,0.24884989117275402,0.0875976102990112,0.42069304143011,-0.3330954311310988,0.1909250077717944,0.41234595727475,-0.22142094950295557,0.359585776852958,0.44365294304186,-0.08406716618890198,0.424556587710482,0.4644014093709,-0.03984482166041803,0.47457715764563996,0.31142212157813,0.16315503606750997,0.34257325657822,0.27700178182476,0.06557147475346004
LK00003__TN00003,recursive_lag_1;semantic_neighborhood,20,2,2025-09-01,2025-09-08,7,7,1.0,False,False,True,0.9156172718407101,hoch,0.6461891433290763,3.9331111432773405,1.9604465177275,1.9726646255498406,performanz,methodik,0.76666666666667,0.46666666666667,0.473548628041114,0.3494644594658,0.12408416857531396,0.11718783922468781,0.34900749384375,-0.2318196546190622,0.10932007486973261,0.35757702727483,-0.24825695240509738,0.37637029498152397,0.35621136647309,0.020158928508433982,0.400138900918866,0.51008787561778,-0.10994897469891401,0.48424437501766393,0.3629927673001,0.12125160771756394,0.41996831278109203,0.3307069726922,0.08926134008889203
LK00004__TN00001,recursive_lag_1;semantic_neighborhood,21,2,2025-09-01,2025-09-08,7,7,1.0,False,False,True,0.9061482278101799,hoch,0.6435851562206805,3.765158256325625,1.9295280949248,1.8356301614008252,regulation,methodik,0.80666666666667,0.48333333333333,0.4977814909409575,0.36829642407033,0.12948506687062755,0.11159661065052023,0.40915376452818,-0.29755715387765974,0.15931901496172302,0.35467827785097,-0.195359262889247,0.3747252787561975,0.28082091833555,0.09390436042064748,0.40819871343004255,0.51826143506903,-0.11006272163898745,0.44308749083850996,0.32059893425201,0.12248855658649993,0.4212664322957125,0.34772874381537,0.07353768848034248
LK00005__TN00049,recursive_lag_2;semantic_neighborhood,23,2,2025-09-01,2025-09-22,21,21,2.0,False,False,True,0.8953359082744087,hoch,0.6213997511685734,3.7475714984215,1.4987736504456,2.2487978479759,performanz,affektiv,0.78833333333333,0.51666666666667,0.4414490803645925,0.394648892534,0.04680018783059253,0.09628173852327224,0.42063375080062,-0.3243520122773478,0.192105653694673,0.43029335152798,-0.23818769783330698,0.40740134922187254,0.33858236888798,0.06881898033389255,0.3734918698670725,0.40032729386542,-0.026835423998347485,0.502388251243845,0.3382610467545,0.16412720448934498,0.39844140486085244,0.30470745169527,0.09373395316558242
LK00012__TN00223,recursive_lag_2,15,4,2025-09-02,2025-11-25,84,84,2.0,False,False,True,0.8013144797388866,hoch,0.5953614819283322,3.5787744637396,1.2131734735068,2.3656009902328003,kognition,methodik,,,0.514729261703918,0.066644272668964,0.448084989034954,0.129224439671633,0.026030034477352,0.103194405194281,0.2133204057952224,0.49457065506968,-0.28125024927445763,0.3411972506871,0.49457065506968,-0.15337340438258001,0.392564668176438,0.58133743666086,-0.18877276848442204,0.41565594402017203,0.35655093737582,0.05910500664435203,0.366255653848628,0.20149174836172,0.164763905486908
LK00016__TN00077,recursive_lag_1;semantic_neighborhood,7,4,2025-09-03,2025-09-30,27,27,1.0,False,False,True,0.9560534994363129,hoch,0.6379393943058034,3.3585269337129398,1.382420184349,1.9761067493639397,kognition,methodik,0.36,0.45,0.5060469492413959,0.52021009515905,-0.014163145917654107,0.12087079299088119,0.28173321565917,-0.1608624226682888,0.230685479822556,0.27806614761061,-0.047380667788054,0.346709001768448,0.31951479614151,0.027194205626937973,0.42951363859539005,0.57108084255237,-0.14156720395697997,0.440164112087808,0.33308622165613,0.10707789043167798,0.3429988697906614,0.18307813483424,0.15992073495642142
LK00018__TN00097,recursive_lag_1;semantic_neighborhood,13,4,2025-09-03,2025-10-07,34,34,1.0,False,False,True,0.8556078830263506,hoch,0.6102945612905577,4.098171634194225,2.3166081162212,1.7815635179730247,kognition,performanz,,,0.5336236996037624,0.38758058980755,0.14604310979621243,-0.002336778902035,0.38168325481671,-0.384020033718745,0.10450873572134026,0.38088139923937,-0.2763726635180297,0.3318722759854475,0.38849902722415,-0.05662675123870248,0.4512241373322275,0.25899935148277,0.1922247858494575,0.4502663997684625,0.43166558580462,0.0186008139638425,0.4093009952143425,0.39329531151087,0.016005683703472495
LK00030__TN00004,exact_sync;temporal_window;recursive_lag_1;semantic_neighborhood,16,2,2025-09-08,2025-09-08,0,0,1.0,False,False,True,0.8835510821251505,hoch,0.8179765475844164,3.865718572828225,1.9266454054326,1.939073167395625,kognition,methodik,0.75,0.6,0.49188389727464,0.25841410088398,0.23346979639066,0.15333254098600352,0.42069304143011,-0.2673605004441065,0.141250285723174,0.41234595727475,-0.271095671551576,0.3690423372703925,0.44365294304186,-0.0746106057714675,0.45026204084418,0.4644014093709,-0.014139368526720042,0.42913926739266,0.31142212157813,0.11771714581453002,0.36530979621347254,0.27700178182476,0.08830801438871255
LK00031__TN00003,exact_sync;temporal_window;recursive_lag_1;semantic_neighborhood,20,2,2025-09-08,2025-09-08,0,0,1.0,False,False,True,0.9484270420635115,hoch,0.8358174365674657,3.8023831622578994,1.9604465177275,1.8419366445303995,kognition,methodik,0.76666666666667,0.46666666666667,0.5320080773069661,0.3494644594658,0.18254361784116607,0.1551809495430666,0.34900749384375,-0.1938265443006834,0.20902246131950802,0.35757702727483,-0.14855456595532196,0.34973749840019797,0.35621136647309,-0.0064738680728920195,0.4409568892422421,0.51008787561778,-0.06913098637553794,0.413121251401628,0.3629927673001,0.05012848410152798,0.3082654408384146,0.3307069726922,-0.02244153185378539
