operator,kognition,sozial,affektiv,motivation,methodik,performanz,regulation
nie,-3.0094491880899596,-0.537358644452649,-0.7922618359508476,-2.1028817462213243,-2.756203540895496,-2.6954858957902723,-2.78219029308812
kein,-2.29233164802062,-1.08133340267036,-0.3901337121511617,-2.3979849527915333,-2.047330270665837,-2.754851340038794,-2.36713008980632
keine,-2.58543822988725,-0.5100921999737225,-0.746897551876123,-1.5617664416528088,-2.0524648230293727,-2.001722613164296,-1.644681385759856
ziemlich,0.5161486400467981,0.39902883735012423,0.6431206353711287,0.9096355994960594,0.6030544486790632,0.9655488246998499,0.7431564455297918
fast,-1.3238171797567477,0.16795214595124672,-0.2241460341650995,-0.10252603303139776,-1.232991950703154,-0.7947934727905425,-0.493867937082027
sofort,-1.1492044642720578,0.5161642064733877,0.17087481864556547,0.3035152884094235,-1.06478703902865,-0.5743651529406549,-0.26005604595403503
nicht,-0.8288702374065615,0.15991908401462204,-0.3706009543313439,-0.38731610370763075,-0.6414833120215789,-0.7582980802673535,-0.5781075979794179
ausnahmslos,0.2380437558969917,0.73889239963275,0.589907687342085,0.92438999636621,0.13198083426694332,0.5125559568775833,0.5781893585543184
hoechst,-0.7456741461791633,0.5671569617888453,0.3913772976244467,0.07645511947913997,-0.7792832550989868,-0.3311344657506999,-0.8077777812240033
jedoch,-0.41857833891527496,-0.29409744402806626,-0.3041260130111675,-0.48082479666970757,-0.5831267774993525,-0.5199210410963175,-0.49366100683054237
stark,-0.47972734970164066,0.16204178294761845,-0.07417182910201679,-0.3604847103772307,-0.5051407718383918,-0.5401187860273405,-0.5055973801382239
besonders,0.5178989936353309,0.2230500268267799,-0.2390662288584979,0.35967239107447885,0.35332597823034007,0.3607535871140488,0.5155048013168549
