operator,n,polaritaet_change_rate,dominanz_change_rate,score
nie,5,2.0,1.0,3.0
kein,3,2.0,1.0,3.0
keine,7,1.7142857142857142,0.7142857142857143,2.4285714285714284
fast,13,0.3076923076923077,1.0,1.3076923076923077
aber,4,0.5,0.75,1.25
sofort,14,0.0,1.0,1.0
sehr,95,0.17894736842105263,0.7894736842105263,0.968421052631579
nicht,60,0.1,0.8,0.9
weniger,39,0.20512820512820512,0.6923076923076923,0.8974358974358974
kaum,6,0.0,0.8333333333333334,0.8333333333333334
bedingt,42,0.2857142857142857,0.5476190476190477,0.8333333333333334
ausnahmslos,6,0.3333333333333333,0.5,0.8333333333333333
