operator,n_transitions,mean_delta_norm,mean_resonance_change,mean_delta_d_semantisch,polaritaet_change_rate,dominanz_change_rate,mean_delta_by_dimension
nie,5,6.14758540907917,1.5881480875935208,-0.49237491489086765,1.0,1.0,"{'kognition': -3.0094491880899596, 'sozial': -0.537358644452649, 'affektiv': -0.7922618359508476, 'motivation': -2.1028817462213243, 'methodik': -2.756203540895496, 'performanz': -2.6954858957902723, 'regulation': -2.78219029308812}"
kein,3,5.609696494341378,1.6973810633441433,1.0548664362138398,1.0,1.0,"{'kognition': -2.29233164802062, 'sozial': -1.08133340267036, 'affektiv': -0.3901337121511617, 'motivation': -2.3979849527915333, 'methodik': -2.047330270665837, 'performanz': -2.754851340038794, 'regulation': -2.36713008980632}"
keine,7,4.757092193798693,1.567586070363076,-0.59374192605262,0.8571428571428571,0.7142857142857143,"{'kognition': -2.58543822988725, 'sozial': -0.5100921999737225, 'affektiv': -0.746897551876123, 'motivation': -1.5617664416528088, 'methodik': -2.0524648230293727, 'performanz': -2.001722613164296, 'regulation': -1.644681385759856}"
unbedingt,2,3.434805251825659,0.2385178174269983,0.13700636141705003,0.0,0.5,"{'kognition': -0.15233696188053003, 'sozial': -0.46807238341698004, 'affektiv': 0.75830825091952, 'motivation': 0.1816322550705648, 'methodik': -0.24582462242607006, 'performanz': -0.00810224606815002, 'regulation': -0.2725167522810399}"
fast,13,2.5375336689531434,0.43377485458987847,-0.9986079558563217,0.15384615384615385,1.0,"{'kognition': -1.3238171797567477, 'sozial': 0.16795214595124672, 'affektiv': -0.22414603416509954, 'motivation': -0.10252603303139776, 'methodik': -1.232991950703154, 'performanz': -0.7947934727905425, 'regulation': -0.4938679370820269}"
ausnahmslos,6,2.378994086408974,0.376082160441132,0.41028120692815,0.16666666666666666,0.5,"{'kognition': 0.2380437558969917, 'sozial': 0.73889239963275, 'affektiv': 0.589907687342085, 'motivation': 0.92438999636621, 'methodik': 0.13198083426694332, 'performanz': 0.5125559568775833, 'regulation': 0.5781893585543184}"
nicht,60,2.306373472529931,0.24802613186623376,-0.9720273577680391,0.05,0.8,"{'kognition': -0.8288702374065615, 'sozial': 0.15991908401462204, 'affektiv': -0.3706009543313439, 'motivation': -0.38731610370763075, 'methodik': -0.6414833120215789, 'performanz': -0.7582980802673535, 'regulation': -0.5781075979794179}"
bedingt,42,2.2899807810457307,0.31462443320409744,-1.0321953110141249,0.14285714285714285,0.5476190476190477,"{'kognition': -0.35699956285689566, 'sozial': -0.18683561533745344, 'affektiv': -0.26417320496374674, 'motivation': -0.3713755966773767, 'methodik': -0.38101042012729447, 'performanz': -0.35941530395295973, 'regulation': -0.2518059700423038}"
stark,34,2.237130291676658,0.276851023718749,-0.36312553559083827,0.11764705882352941,0.5588235294117647,"{'kognition': -0.47972734970164066, 'sozial': 0.16204178294761845, 'affektiv': -0.07417182910201678, 'motivation': -0.3604847103772307, 'methodik': -0.5051407718383918, 'performanz': -0.5401187860273405, 'regulation': -0.5055973801382239}"
relativ,2,2.199868715678204,0.20590514408474908,-0.49413941989464993,0.0,0.5,"{'kognition': -0.3884604829968801, 'sozial': -0.621751090028503, 'affektiv': -0.11683217400383505, 'motivation': -0.18414009822580996, 'methodik': -0.29887698671964497, 'performanz': -0.16829496518164005, 'regulation': -0.5863746879239835}"
sofort,14,2.1536017007178896,0.1989655766503166,-0.9129230946090287,0.0,1.0,"{'kognition': -1.1492044642720578, 'sozial': 0.5161642064733877, 'affektiv': 0.17087481864556547, 'motivation': 0.3035152884094235, 'methodik': -1.06478703902865, 'performanz': -0.5743651529406549, 'regulation': -0.26005604595403503}"
ziemlich,16,2.151802257298426,0.15219773455721647,1.5158333993614996,0.0625,0.6875,"{'kognition': 0.5161486400467981, 'sozial': 0.39902883735012423, 'affektiv': 0.6431206353711287, 'motivation': 0.9096355994960594, 'methodik': 0.6030544486790632, 'performanz': 0.9655488246998499, 'regulation': 0.7431564455297918}"
weniger,39,2.1275073284646484,0.2768476139822925,-0.06757687492368024,0.10256410256410256,0.6923076923076923,"{'kognition': 0.05490301667114742, 'sozial': 0.1678560283415574, 'affektiv': 0.38852756280578615, 'motivation': 0.2667675328042537, 'methodik': -0.003750888996635634, 'performanz': 0.30739066170488694, 'regulation': 0.21523196958924415}"
oftmals,28,2.1148169140043587,0.14312373135434076,0.06954884153802128,0.03571428571428571,0.42857142857142855,"{'kognition': -0.0005196146088039176, 'sozial': 0.5140507592061885, 'affektiv': 0.44698823701864665, 'motivation': 0.31032104050342246, 'methodik': -0.10153687945181357, 'performanz': -0.1296034186440625, 'regulation': -0.08657213152328322}"
aber,4,2.030255686552173,0.5191058805372055,0.74639022862128,0.25,0.75,"{'kognition': 0.45464473464476746, 'sozial': 0.33455342082891426, 'affektiv': 0.0051951835891075535, 'motivation': 0.20259910164691752, 'methodik': 0.42342845002262025, 'performanz': -0.07394233635717047, 'regulation': 0.2963747340460151}"
sehr,95,1.9101974387437173,0.2192084962475799,0.30869179102274297,0.09473684210526316,0.7894736842105263,"{'kognition': 0.07405301172618937, 'sozial': 0.28500069429874275, 'affektiv': 0.1879651178618066, 'motivation': 0.2162884012786528, 'methodik': 0.05503586347192235, 'performanz': 0.21255685113037154, 'regulation': 0.17969821891792725}"
wenig,77,1.8693395619363204,0.1853599453329308,-0.40204665589772715,0.05194805194805195,0.6753246753246753,"{'kognition': 0.018046701386941318, 'sozial': -0.12802546945161555, 'affektiv': -0.11239578090896986, 'motivation': -0.1466050697402459, 'methodik': -0.030360025534230638, 'performanz': -0.048797419440530905, 'regulation': -0.055295502356801966}"
etwas,69,1.8588221567681171,0.17711179678139094,-0.5999209807025342,0.043478260869565216,0.7101449275362319,"{'kognition': -0.20169510221498438, 'sozial': 0.13447032509198203, 'affektiv': -0.1767445197082092, 'motivation': -0.2954359567027357, 'methodik': -0.16209401571129506, 'performanz': -0.29038793479055813, 'regulation': -0.16655188763880638}"
vollstaendig,1,1.8370888510477172,0.019673195791997777,-1.6589778453039,0.0,1.0,"{'kognition': -0.20262978816480004, 'sozial': -0.19351875193362, 'affektiv': -0.20546747744863997, 'motivation': -0.9937964026808999, 'methodik': -0.7221370663525, 'performanz': -0.9020415585160999, 'regulation': -0.9650792807232003}"
stets,26,1.8338272836208112,0.15647590104658982,0.12323237638201809,0.038461538461538464,0.6153846153846154,"{'kognition': 0.09464876408075806, 'sozial': 0.15563695709026193, 'affektiv': -0.13568657993066346, 'motivation': 0.15407073896230455, 'methodik': 0.2648787803080773, 'performanz': 0.03555888535039309, 'regulation': 0.0036268177053603726}"
bisschen,1,1.8319061285167695,0.15521885204683716,-0.5564137611365001,0.0,1.0,"{'kognition': -0.84944964999795, 'sozial': 1.1637351958134, 'affektiv': 0.1503620259206, 'motivation': -0.04128873124620003, 'methodik': -0.37421593642110995, 'performanz': -1.04288718049974, 'regulation': 0.16754406391069998}"
meistens,208,1.8203322107878923,0.14400499580537338,0.12403970884452839,0.04326923076923077,0.6442307692307693,"{'kognition': 0.16732469895444593, 'sozial': 0.008313511814962841, 'affektiv': -0.03563961169945445, 'motivation': 0.10748263048408598, 'methodik': 0.16806028344212168, 'performanz': 0.05626024748545034, 'regulation': 0.08949208814433202}"
manchmal,26,1.8052921746983015,0.12173045752639236,-0.2261635950861123,0.0,0.7692307692307693,"{'kognition': -0.4513071702115431, 'sozial': 0.5075430138253268, 'affektiv': -0.467834994394325, 'motivation': 0.1576655715553465, 'methodik': -0.13314848979306232, 'performanz': -0.25268022203656576, 'regulation': 0.06488647976783614}"
jedoch,4,1.7870871019661294,0.04916837993272902,-1.23782069016615,0.0,0.75,"{'kognition': -0.41857833891527496, 'sozial': -0.29409744402806626, 'affektiv': -0.3041260130111675, 'motivation': -0.48082479666970757, 'methodik': -0.5831267774993525, 'performanz': -0.5199210410963175, 'regulation': -0.49366100683054237}"
eher,29,1.7612456890379642,0.07449113821909177,-0.12887966032162515,0.0,0.7241379310344828,"{'kognition': -0.16337151478779935, 'sozial': -0.21208814265202602, 'affektiv': -0.1355645969938877, 'motivation': -0.033089996137173734, 'methodik': 0.04846044019598658, 'performanz': -0.11781370662465691, 'regulation': 0.12022070866312763}"
selten,91,1.7399026798735695,0.13842490931071605,-0.5927193021977428,0.03296703296703297,0.7472527472527473,"{'kognition': -0.20287305723748325, 'sozial': -0.23862270083886414, 'affektiv': -0.252992201406502, 'motivation': -0.23016607412850276, 'methodik': -0.1043327298292032, 'performanz': -0.2469388009590211, 'regulation': -0.19638782230061624}"
besonders,35,1.710754664709154,0.06927167990094737,0.8816387063385887,0.0,0.5142857142857142,"{'kognition': 0.5178989936353309, 'sozial': 0.2230500268267799, 'affektiv': -0.2390662288584979, 'motivation': 0.35967239107447885, 'methodik': 0.35332597823034007, 'performanz': 0.3607535871140488, 'regulation': 0.5155048013168549}"
nur,245,1.664743713252795,0.15798937268013363,-0.36545726423129216,0.044897959183673466,0.6653061224489796,"{'kognition': -0.18051273231910225, 'sozial': -0.028384395500358397, 'affektiv': -0.18315224524925527, 'motivation': -0.05213255365905242, 'methodik': -0.14256704595151715, 'performanz': -0.16980801153220382, 'regulation': -0.0010777518277827703}"
gelegentlich,61,1.6595388340466626,0.11141622135150384,0.43006321237936146,0.01639344262295082,0.7704918032786885,"{'kognition': -0.05759648351554702, 'sozial': 0.21696617284109965, 'affektiv': 0.09811698811939497, 'motivation': 0.468197839810439, 'methodik': 0.09207688443617866, 'performanz': 0.2680900644448429, 'regulation': 0.2870736625692693}"
hoechst,3,1.6192565948463675,0.16509695621059187,-0.7515402919744999,0.0,0.3333333333333333,"{'kognition': -0.7456741461791633, 'sozial': 0.5671569617888453, 'affektiv': 0.3913772976244467, 'motivation': 0.07645511947913997, 'methodik': -0.7792832550989868, 'performanz': -0.3311344657506999, 'regulation': -0.8077777812240033}"
deutlich,48,1.5727557490460882,0.0722962743872541,0.44499318444361197,0.041666666666666664,0.5416666666666666,"{'kognition': 0.35216987634450087, 'sozial': -0.07407099636874305, 'affektiv': 0.07814351630578457, 'motivation': -0.05412483043677772, 'methodik': 0.2912083982845944, 'performanz': 0.21775434254553475, 'regulation': 0.10884275542964857}"
teilweise,85,1.5164973931323649,0.11919127883598393,-0.03256318852326599,0.03529411764705882,0.6352941176470588,"{'kognition': 0.17378994813789758, 'sozial': -0.029972930760961032, 'affektiv': 0.06370763677986581, 'motivation': -0.008861525213740382, 'methodik': 0.09702335693060893, 'performanz': 0.033522854609926725, 'regulation': -0.03541323462531976}"
weitgehend,60,1.421185852378868,0.0578953783986353,0.531173263425821,0.0,0.5666666666666667,"{'kognition': 0.4715872018821719, 'sozial': 0.031012478921152706, 'affektiv': 0.002050830009647772, 'motivation': 0.2073725257158294, 'methodik': 0.26402714448459, 'performanz': 0.16212043286489325, 'regulation': 0.13199463389367586}"
kaum,6,1.4065283879585904,0.08925242135387153,0.32890288480695823,0.0,0.8333333333333334,"{'kognition': 0.034946828233133366, 'sozial': 0.17924368305390148, 'affektiv': -0.04049820477541918, 'motivation': 0.3578961679900034, 'methodik': 0.05008867462130001, 'performanz': 0.1926377289115584, 'regulation': 0.28879197361507836}"
vereinzelt,30,1.3667553762707698,0.0849760263471865,0.03118020346555029,0.0,0.43333333333333335,"{'kognition': 0.15809067180113398, 'sozial': -0.20708977245388888, 'affektiv': -0.2310894131150926, 'motivation': -0.06921038437978767, 'methodik': 0.058118584796671625, 'performanz': -0.0430472244016223, 'regulation': 0.022082571965486665}"
sporadisch,15,1.2682443440377777,0.04126207850493308,0.5650320765844199,0.0,0.6666666666666666,"{'kognition': 0.0971395423285001, 'sozial': 0.012782483290952894, 'affektiv': -0.20298160114917796, 'motivation': 0.4405462944747766, 'methodik': 0.24671724131614728, 'performanz': 0.21225496383784, 'regulation': 0.5720404325630232}"
leicht,14,1.2033882942431444,0.05053099140495108,-0.042854729382078495,0.0,0.7142857142857143,"{'kognition': -0.2880342920919071, 'sozial': 0.023571407623165723, 'affektiv': 0.4412796027076134, 'motivation': 0.06397913369691714, 'methodik': -0.25661345704976435, 'performanz': 0.2481409274989213, 'regulation': 0.09509822850759644}"
