operator,n,polaritaet_change_rate,dominanz_change_rate,score
fast,7,0.2857142857142857,1.0,1.2857142857142856
kaum,2,0.0,1.0,1.0
leicht,8,0.0,1.0,1.0
sofort,9,0.0,1.0,1.0
sehr,51,0.13725490196078433,0.7843137254901961,0.9215686274509804
nicht,32,0.125,0.78125,0.90625
weniger,30,0.2,0.7,0.8999999999999999
stark,26,0.3076923076923077,0.5384615384615384,0.8461538461538461
gelegentlich,52,0.038461538461538464,0.7692307692307693,0.8076923076923077
bedingt,34,0.29411764705882354,0.5,0.7941176470588236
ziemlich,14,0.14285714285714285,0.6428571428571429,0.7857142857142858
eher,18,0.0,0.7777777777777778,0.7777777777777778
