operator,n_transitions,mean_delta_norm,mean_resonance_change,mean_delta_d_semantisch,polaritaet_change_rate,dominanz_change_rate,mean_delta_by_dimension
keine,1,8.282500382486289,1.9543019495483356,-0.3461279343164003,1.0,1.0,"{'kognition': -4.3483066638082, 'sozial': -1.31179759096085, 'affektiv': -1.93429716754548, 'motivation': -2.6948909842599003, 'methodik': -3.7020136811485997, 'performanz': -3.2594344793005003, 'regulation': -3.555062229277}"
unbedingt,1,3.469844136848605,0.2317079786969375,3.1214045704936,0.0,1.0,"{'kognition': 0.5797752505720399, 'sozial': -0.05, 'affektiv': 1.74085343190744, 'motivation': 2.1034311551218297, 'methodik': 0.78386443821076, 'performanz': 1.4801604188571, 'regulation': 1.2003613514617202}"
fast,7,3.099456089069561,0.4812816894417741,-1.0590566339948144,0.14285714285714285,1.0,"{'kognition': -1.7281874943620914, 'sozial': 0.16227893246958955, 'affektiv': -0.47613399560726144, 'motivation': -0.15420490705871867, 'methodik': -1.5285414996040916, 'performanz': -1.0401748166168028, 'regulation': -0.5323145586200472}"
relativ,1,2.8817934982687,0.29193507875861235,-2.1245876275062,0.0,0.0,"{'kognition': -0.6613645040457001, 'sozial': -1.15233088037627, 'affektiv': -1.13766466109007, 'motivation': -1.27791822279982, 'methodik': -0.81031173994758, 'performanz': -1.0903772745561802, 'regulation': -1.329127804073377}"
weniger,30,2.2757341104029982,0.2877074653125757,0.004387729740275681,0.1,0.7,"{'kognition': 0.06046158074844133, 'sozial': 0.1835434703862302, 'affektiv': 0.352862460082554, 'motivation': 0.34228017795438076, 'methodik': 0.034607438036638356, 'performanz': 0.33952744294696935, 'regulation': 0.3739656570251354}"
nicht,32,2.260186479233782,0.23565168411140022,-1.0899157580061223,0.0625,0.78125,"{'kognition': -0.9672890776122219, 'sozial': 0.22913047081054494, 'affektiv': -0.42902202139809514, 'motivation': -0.291393241679256, 'methodik': -0.725315323970204, 'performanz': -0.8013143812950219, 'regulation': -0.518864887726682}"
sofort,9,2.253738898776153,0.21185611816837102,-0.8720836703876113,0.0,1.0,"{'kognition': -1.2579191598593533, 'sozial': 0.5754303911720385, 'affektiv': 0.1987462070841878, 'motivation': 0.41247396321847435, 'methodik': -1.0787731047961144, 'performanz': -0.5876103538668578, 'regulation': -0.14775485268913668}"
bedingt,34,2.2443991436735624,0.3050186448323,-1.1722492174460175,0.14705882352941177,0.5,"{'kognition': -0.3885116329854879, 'sozial': -0.27104014837031876, 'affektiv': -0.31798494607000977, 'motivation': -0.5231714243055229, 'methodik': -0.4627197558528653, 'performanz': -0.4710555281024935, 'regulation': -0.4552293961601188}"
stark,26,2.2328371765707993,0.3422865107984974,-0.1480985967856654,0.15384615384615385,0.5384615384615384,"{'kognition': -0.46463321261198737, 'sozial': 0.27056910564297365, 'affektiv': -0.010662040417096572, 'motivation': -0.3378633879330785, 'methodik': -0.5056153367504942, 'performanz': -0.5667883333199646, 'regulation': -0.5764719932442257}"
oftmals,21,2.223853347342407,0.16025256937180435,0.21238367966298557,0.047619047619047616,0.47619047619047616,"{'kognition': 0.11327894328594242, 'sozial': 0.49585009932964996, 'affektiv': 0.4772813763500504, 'motivation': 0.374034348754429, 'methodik': -0.02718605248705714, 'performanz': -0.028715081678426662, 'regulation': -0.021369034868239517}"
ziemlich,14,2.1541711197030837,0.1618364074802733,1.5988516491074425,0.07142857142857142,0.6428571428571429,"{'kognition': 0.555557997031175, 'sozial': 0.44160980385583704, 'affektiv': 0.7076816626937036, 'motivation': 0.9550109032606965, 'methodik': 0.6388312008802008, 'performanz': 1.0048113874217692, 'regulation': 0.7639726361063978}"
stets,17,1.8486608879684805,0.17746735505984385,0.16256926939004537,0.058823529411764705,0.5882352941176471,"{'kognition': 0.14956827427546765, 'sozial': 0.11759632975618464, 'affektiv': -0.11532441901857983, 'motivation': 0.22981814984269827, 'methodik': 0.27691180769819945, 'performanz': 0.14988848763200005, 'regulation': 0.08919191596575}"
etwas,36,1.8408742295266036,0.15094962516842075,-0.6240417174903655,0.027777777777777776,0.7222222222222222,"{'kognition': -0.18944673255883393, 'sozial': 0.08121790703193715, 'affektiv': -0.2745418008849583, 'motivation': -0.37566218993676753, 'methodik': -0.1675029601014211, 'performanz': -0.34338434860099726, 'regulation': -0.28768586403804886}"
vollstaendig,1,1.8370888510477172,0.019673195791997777,-1.6589778453039,0.0,1.0,"{'kognition': -0.20262978816480004, 'sozial': -0.19351875193362, 'affektiv': -0.20546747744863997, 'motivation': -0.9937964026808999, 'methodik': -0.7221370663525, 'performanz': -0.9020415585160999, 'regulation': -0.9650792807232003}"
wenig,57,1.833143069578021,0.18559615086510564,-0.25109746160396296,0.05263157894736842,0.6491228070175439,"{'kognition': 0.11733663288603019, 'sozial': -0.10681208736725605, 'affektiv': -0.09831097477531295, 'motivation': -0.10850324602658881, 'methodik': 0.05708286186386615, 'performanz': 0.029854684842252465, 'regulation': 0.02812610315293904}"
manchmal,22,1.8193705239935385,0.1253721497520042,-0.10072881375931458,0.0,0.7272727272727273,"{'kognition': -0.353373228369245, 'sozial': 0.5379590100908646, 'affektiv': -0.456734204302812, 'motivation': 0.16487998884826408, 'methodik': -0.051382690103879976, 'performanz': -0.21459093921227954, 'regulation': 0.1094222954060109}"
meistens,125,1.803741047084734,0.1292047393505287,0.08453836018144184,0.04,0.64,"{'kognition': 0.10395426588573191, 'sozial': 0.027257675030772418, 'affektiv': -0.021853331353638376, 'motivation': 0.09929136042397434, 'methodik': 0.12111244494892645, 'performanz': 0.04790375460878977, 'regulation': 0.07127679948178244}"
sehr,51,1.7946621645192529,0.17870992252622325,0.013067350009886033,0.0784313725490196,0.7843137254901961,"{'kognition': 0.05918456530581903, 'sozial': 0.2563029207518275, 'affektiv': 0.2222572877388017, 'motivation': 0.16931441555759705, 'methodik': -0.01398236932214256, 'performanz': 0.22975687960625057, 'regulation': 0.11101332242469743}"
selten,67,1.6552829380053162,0.10956786806046172,-0.6030252613896928,0.014925373134328358,0.6865671641791045,"{'kognition': -0.27801326861428977, 'sozial': -0.1979013896407711, 'affektiv': -0.24956318688316317, 'motivation': -0.26604288926410374, 'methodik': -0.17936941605074003, 'performanz': -0.30515964251920435, 'regulation': -0.24455175412106148}"
nur,196,1.6407274253158275,0.14541510959573917,-0.36378510739318676,0.04081632653061224,0.6173469387755102,"{'kognition': -0.19499750484166423, 'sozial': -0.032172997289209304, 'affektiv': -0.17418430562110138, 'motivation': -0.0679756473230418, 'methodik': -0.15590097840831588, 'performanz': -0.18935144914499308, 'regulation': -0.022554898512248504}"
ausnahmslos,3,1.6356922176597382,0.07353988302849424,-0.3333780683782668,0.0,0.3333333333333333,"{'kognition': -0.3440578925571667, 'sozial': 0.5759402045835, 'affektiv': 0.3055849025303067, 'motivation': 0.46344716478473336, 'methodik': -0.46075675679600003, 'performanz': -0.2504886582990667, 'regulation': -0.2673857186508}"
gelegentlich,52,1.6269053953463049,0.1097730959743796,0.5770562971784758,0.019230769230769232,0.7692307692307693,"{'kognition': 0.041613540863144644, 'sozial': 0.15497971709390765, 'affektiv': 0.07110345861124812, 'motivation': 0.5135070395820327, 'methodik': 0.19052978600584478, 'performanz': 0.3556055041172736, 'regulation': 0.36656682698879234}"
