operator,kognition,sozial,affektiv,motivation,methodik,performanz,regulation
nie,-3.0094491880899596,-0.537358644452649,-0.7922618359508476,-2.1028817462213243,-2.756203540895496,-2.6954858957902723,-2.78219029308812
kein,-2.29233164802062,-1.08133340267036,-0.3901337121511617,-2.3979849527915333,-2.047330270665837,-2.754851340038794,-2.36713008980632
keine,-2.291626824233758,-0.3764746348092012,-0.5489976159312301,-1.3729123512182932,-1.7775400133428352,-1.7921039688082618,-1.3262845785069983
ausnahmslos,0.82014540435115,0.9018445946820001,0.8742304721538634,1.3853328279476866,0.7247184253298867,1.2756005720542332,1.4237644357594366
besonders,0.8443111477818938,0.5062987514907761,-0.16784606244683606,0.5805926456880268,0.6201046792390732,0.646175269564483,0.6650260713554476
sofort,-0.953518012214926,0.40948507401581596,0.1207063194560452,0.10738967375313195,-1.039612120647214,-0.55052379127349,-0.46219819383085203
nicht,-0.670677277171521,0.08082035624785308,-0.303834020540771,-0.49694223174005897,-0.5456752983660074,-0.7091365933785896,-0.6458135525539731
manchmal,-0.9899438503441824,0.34025503436486926,-0.528889339897647,0.11798627644429999,-0.582860388083565,-0.46217127757014004,-0.18006050624212494
jedoch,-0.41857833891527496,-0.29409744402806626,-0.3041260130111675,-0.48082479666970757,-0.5831267774993525,-0.5199210410963175,-0.49366100683054237
fast,-0.85205181271718,0.17457089501318002,0.06983992085075601,-0.0422340133328567,-0.88818414365206,-0.508515238326572,-0.44901354528767
ziemlich,0.2402831411561599,0.10096207181013503,0.19119344411310502,0.5920084731436001,0.35261718327110003,0.690710885646415,0.5974431114935498
stark,-0.5287832952430138,-0.190672015812286,-0.2805786423280075,-0.43400400832072505,-0.5035984358740588,-0.45344275732631245,-0.2752548875437174
