operator,n,polaritaet_change_rate,dominanz_change_rate,score
kein,3,2.0,1.0,3.0
nie,5,2.0,1.0,3.0
keine,6,1.6666666666666667,0.6666666666666666,2.3333333333333335
fast,6,0.3333333333333333,1.0,1.3333333333333333
ausnahmslos,3,0.6666666666666666,0.6666666666666666,1.3333333333333333
aber,4,0.5,0.75,1.25
selten,24,0.16666666666666666,0.9166666666666666,1.0833333333333333
sehr,44,0.22727272727272727,0.7954545454545454,1.0227272727272727
sofort,5,0.0,1.0,1.0
vereinzelt,3,0.0,1.0,1.0
ziemlich,2,0.0,1.0,1.0
manchmal,4,0.0,1.0,1.0
