id,gruppe_id,teilnehmer_id,fach,datum,thema,bemerkung,wochentag,day_number,lehrkraft_id,id_mtr_rueckkopplung_datenmaske,mtr_rueckkopplung_datenmaske_values_id,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,sum_kognition,sum_sozial,sum_affektiv,sum_motivation,sum_methodik,sum_performanz,sum_regulation,token_anzahl,funktionsklassen_anzahl_gesamt,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,operator_count,modulator_count,has_operator,operator_names,modulator_names,x_vector,sum_vector,vector_norm_x,vector_norm_sum,operator_list,modulator_list,sequence_index,has_previous_state,prev_id,delta_vector,delta_norm,delta_d_semantisch,cosine_prev_current,resonance_change,polaritaet_change,dominanz_change,dominanz_from,dominanz_to
62,2,20,MAT,2025-03-03,weitere Themen: Magnetismus komplexe Aufg,Fehlerkorrektur / Überschlag / Zehnerpotenzen / Lorentzkraft | Absprachen einhaltendarbeitet selbstständigbeherrscht Themafähig zu Transferdenken,1,0,6,41,85,0.81801143740294,0.0,0.17853023972912,0.0,0.48515844807745,0.25216135554961,0.0,0.811,0.0,0.177,0.0,0.481,0.25,0.0,1,1,kognition,0.811,1,0.99141868047763,0,0,0,,,"[0.81801143740294, 0.0, 0.17853023972912, 0.0, 0.48515844807745, 0.25216135554961, 0.0]","[0.811, 0.0, 0.177, 0.0, 0.481, 0.25, 0.0]",0.9999899135457806,0.9914186804776275,[],[],0,0,,,,,,,0,0,,kognition
608,5,9,PHY,2025-01-09,weitere Themen: English Vokabeln Hausaufgaben,"Sehr gut zusammengearbeitet, das nächste mal bringt sie auch Spanisch und/Rusisch mit | fleißig / bemühtAbsprachen einhaltendkonzentriertLernfortschritt erzielt",4,3,6,644,934,0.46170613489095,0.0,0.28371199350357,0.28453536910226,0.31761708163355,0.70281443238193,0.17474889106965,1.0660921753961,0.0,0.65509880307658,0.657,0.73338658491432,1.6228178715771,0.4035,3,3,performanz,1.6228178715771,1,2.3090175281871,1,0,1,sehr,,"[0.46170613489095, 0.0, 0.28371199350357, 0.28453536910226, 0.31761708163355, 0.70281443238193, 0.17474889106965]","[1.0660921753961, 0.0, 0.65509880307658, 0.657, 0.73338658491432, 1.6228178715771, 0.4035]",0.9999956691724666,2.3090175281871455,['sehr'],[],0,0,,,,,,,0,0,,performanz
910,0,6,MAT,2025-03-27,Geometrie: Winkel messen und zeichnen,"Karl hat sehr gut mitgemacht. Er hat ein Übungsblatt zu Achsen- Punktspiegelung, und Dreiecksberechnungen bearbeitet. | fleißig / bemühtbeteiligt sich / gute MitarbeitAbsprachen einhaltendarbeitet selbstständigkonzentriertvorbereitetLernfortschritt erzielt",4,3,7,908,1381,0.34681514388007,0.021778917795331,0.19227622665865,0.40718074078557,0.32339682743774,0.66547170468148,0.35921277763632,1.0330525043822,0.064872500432045,0.57273000037032,1.2128625044994,0.96329675445007,1.9822295053944,1.0699811299809,2,2,performanz,1.9822295053944,1,2.9786733781959,1,0,1,sehr,,"[0.34681514388007, 0.021778917795331, 0.19227622665865, 0.40718074078557, 0.32339682743774, 0.66547170468148, 0.35921277763632]","[1.0330525043822, 0.064872500432045, 0.57273000037032, 1.2128625044994, 0.96329675445007, 1.9822295053944, 1.0699811299809]",0.9999966428120317,2.9786733781958628,['sehr'],[],0,0,,,,,,,0,0,,performanz
539,0,8,MAT,2025-02-06,Lineare Funktion/Gleichung: Aufgabenblatt,Selina ist ruhig und konzentriert. Sie haben gerade mit der Linearen Funktion angefangen und soweit hat sie keine Frage. | beteiligt sich / gute Mitarbeitfleißig / bemühtarbeitet selbstständigkonzentriertBasiswissen vorhanden,4,3,7,538,807,0.33907378335502,0.033439229127714,0.080254149906513,0.39057019621169,0.3216853842086,0.41732157951387,0.66878458255427,0.507,0.05,0.12,0.584,0.481,0.624,1.0,1,1,regulation,1.0,1,1.4952397801022,0,0,0,,,"[0.33907378335502, 0.033439229127714, 0.080254149906513, 0.39057019621169, 0.3216853842086, 0.41732157951387, 0.66878458255427]","[0.507, 0.05, 0.12, 0.584, 0.481, 0.624, 1.0]",0.9999933121541729,1.4952397801021748,[],[],0,0,,,,,,,0,0,,regulation
538,0,8,MAT,2025-02-13,Lineare Funktion/Gleichung: Lineargleichungssystem rechnerisches Lösen,"Selina arbeitet ruhig, sie hat heute keine Hausaufgaben gebracht und nur mit Theorie abschreiben konzentriert. | Absprachen einhaltendbeteiligt sich / gute Mitarbeitarbeitet selbstständigkonzentriertvorbereitetBasiswissen vorhanden | add | Fach		Thema",4,3,7,536,805,0.33907378335502,0.033439229127714,0.080254149906513,0.39057019621169,0.3216853842086,0.41732157951387,0.66878458255427,0.507,0.05,0.12,0.584,0.481,0.624,1.0,1,1,regulation,1.0,1,1.4952397801022,0,0,0,,,"[0.33907378335502, 0.033439229127714, 0.080254149906513, 0.39057019621169, 0.3216853842086, 0.41732157951387, 0.66878458255427]","[0.507, 0.05, 0.12, 0.584, 0.481, 0.624, 1.0]",0.9999933121541729,1.4952397801021748,[],[],1,1,539.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,1.0,0.0,0,0,regulation,regulation
534,0,8,MAT,2025-03-13,Lineare Funktion/Gleichung: Lineares Gleichungssystem,Selina hat die Lineare Gleichungssysteme einschliesslich vorherige Übungen wiederholt und für die restliche Zeit für Physik genutzt. | Absprachen einhaltendbeteiligt sich / gute Mitarbeitfleißig / bemühtarbeitet selbstständigkonzentriertvorbereitetBasiswissen vorhanden,4,3,7,527,792,0.53894880304534,0.11902260533474,0.18715230414695,0.30285988424917,0.45694277284208,0.41623217229527,0.43193269527026,1.8144776230582,0.40071311560146,0.6300852067202,1.0196376349423,1.5383881208293,1.4013278410846,1.4541867535592,4,3,kognition,1.8144776230582,1,3.3666875653448,0,0,0,,,"[0.53894880304534, 0.11902260533474, 0.18715230414695, 0.30285988424917, 0.45694277284208, 0.41623217229527, 0.43193269527026]","[1.8144776230582, 0.40071311560146, 0.6300852067202, 1.0196376349423, 1.5383881208293, 1.4013278410846, 1.4541867535592]",0.999997029730232,3.366687565344742,[],[],2,1,538.0,"[1.3074776230582001, 0.35071311560146, 0.5100852067202, 0.4356376349423, 1.0573881208293, 0.7773278410846, 0.4541867535591999]",2.052086330798615,1.8714477852426001,0.9296046118806106,0.07039538811938939,0,1,regulation,kognition
532,0,8,MAT,2025-03-27,Geometrie: Kreis,Sie haben gerade mit dem neuem Thema Kreis angefangen. Dazu hat sie die Grundlagen aufgeschrieben und Beispiele sich angeschaut. | Absprachen einhaltendbeteiligt sich / gute Mitarbeitfleißig / bemühtarbeitet selbstständigkonzentriertvorbereitetLernfortschritt erzielt,4,3,7,522,786,0.65084722889801,0.023220888832951,0.098704668493712,0.27121998156886,0.40444345953194,0.43417517109523,0.37478514576382,1.4014261761902,0.05,0.21253421693671,0.584,0.87086128020655,0.93488060301796,0.807,2,2,kognition,1.4014261761902,1,2.1532236836758,0,0,0,,,"[0.65084722889801, 0.023220888832951, 0.098704668493712, 0.27121998156886, 0.40444345953194, 0.43417517109523, 0.37478514576382]","[1.4014261761902, 0.05, 0.21253421693671, 0.584, 0.87086128020655, 0.93488060301796, 0.807]",0.9999953558222265,2.1532236836757583,[],[],3,1,534.0,"[-0.413051446868, -0.35071311560146, -0.4175509897834899, -0.4356376349423, -0.66752684062275, -0.4664472380666399, -0.6471867535591999]",1.3189980925294045,-1.213463881669,0.9815662267357443,0.01843377326425566,0,0,kognition,kognition
531,0,8,MAT,2025-04-03,Geometrie: Kreis,Selina hat den Thaleskreis und die Konstruktion von Tangenten Sekanten und Passanten | Absprachen einhaltendbeteiligt sich / gute Mitarbeitfleißig / bemühtarbeitet selbstständigkonzentriertvorbereitetLernfortschritt erzielt,4,3,7,520,783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0,0.0,0,0,0,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,[],[],4,1,532.0,"[-1.4014261761902, -0.05, -0.21253421693671, -0.584, -0.87086128020655, -0.93488060301796, -0.807]",2.1532236836757583,-2.1532236836758,,,1,1,kognition,
358,5,15,MAT,2025-04-03,Lineare Funktion/Gleichung: Nullstelle,"Ida hat sich für eine Klassenarbeit vorbereitet, sie hat die y- & x-Achsenschnittpunkt und Nullstelle geübt | beteiligt sich / gute MitarbeitAbsprachen einhaltendfleißig / bemühtarbeitet selbstständigkonzentriertvorbereitetLernfortschritt erzielt",4,3,7,379,558,0.81801143740294,0.0,0.17853023972912,0.0,0.48515844807745,0.25216135554961,0.0,0.811,0.0,0.177,0.0,0.481,0.25,0.0,1,1,kognition,0.811,1,0.99141868047763,0,0,0,,,"[0.81801143740294, 0.0, 0.17853023972912, 0.0, 0.48515844807745, 0.25216135554961, 0.0]","[0.811, 0.0, 0.177, 0.0, 0.481, 0.25, 0.0]",0.9999899135457806,0.9914186804776275,[],[],0,0,,,,,,,0,0,,kognition
915,0,6,MAT,2025-01-06,Zuordnungen: Proportionale Zuordnung,Hatte noch große Probleme mit dem Konzept der Proportionalität | Absprachen einhaltendbeteiligt sich / gute Mitarbeitfleißig / bemühtkonzentriertvorbereitetLernfortschritt erzieltBasiswissen vorhanden,1,0,8,930,1403,-0.24522941785392,0.0,-0.28233650081865,-0.35332396388163,-0.19360217198993,-0.80667571662473,-0.21699576777205,-0.304,0.0,-0.35,-0.438,-0.24,-1.0,-0.269,1,1,performanz,-1.0,-1,1.2396455138466,0,0,0,,,"[-0.24522941785392, 0.0, -0.28233650081865, -0.35332396388163, -0.19360217198993, -0.80667571662473, -0.21699576777205]","[-0.304, 0.0, -0.35, -0.438, -0.24, -1.0, -0.269]",0.9999919332428343,1.2396455138465996,[],[],0,0,,,,,,,0,0,,performanz
