operator,n_transitions,mean_delta_norm,mean_resonance_change,mean_delta_d_semantisch,polaritaet_change_rate,dominanz_change_rate,mean_delta_by_dimension
nie,5,6.14758540907917,1.5881480875935208,-0.49237491489086765,1.0,1.0,"{'kognition': -3.0094491880899596, 'sozial': -0.537358644452649, 'affektiv': -0.7922618359508476, 'motivation': -2.1028817462213243, 'methodik': -2.756203540895496, 'performanz': -2.6954858957902723, 'regulation': -2.78219029308812}"
kein,3,5.609696494341378,1.6973810633441433,1.0548664362138398,1.0,1.0,"{'kognition': -2.29233164802062, 'sozial': -1.08133340267036, 'affektiv': -0.3901337121511617, 'motivation': -2.3979849527915333, 'methodik': -2.047330270665837, 'performanz': -2.754851340038794, 'regulation': -2.36713008980632}"
keine,6,4.16952416235076,1.5031334238321994,-0.6350109246753233,0.8333333333333334,0.6666666666666666,"{'kognition': -2.291626824233758, 'sozial': -0.3764746348092012, 'affektiv': -0.5489976159312301, 'motivation': -1.3729123512182932, 'methodik': -1.7775400133428352, 'performanz': -1.7921039688082618, 'regulation': -1.3262845785069983}"
unbedingt,1,3.3997663668027123,0.2453276561570591,-2.8473918476595,0.0,0.0,"{'kognition': -0.8844491743331, 'sozial': -0.88614476683396, 'affektiv': -0.22423693006839995, 'motivation': -1.7401666449807, 'methodik': -1.2755136830629001, 'performanz': -1.4963649109934, 'regulation': -1.7453948560238}"
ausnahmslos,3,3.1222959551582092,0.6786244378537698,1.1539404822345667,0.3333333333333333,0.6666666666666666,"{'kognition': 0.82014540435115, 'sozial': 0.9018445946820001, 'affektiv': 0.8742304721538634, 'motivation': 1.3853328279476866, 'methodik': 0.7247184253298867, 'performanz': 1.2756005720542332, 'regulation': 1.4237644357594368}"
bedingt,8,2.4837027398774447,0.3554490337842364,-0.4369662086785824,0.125,0.75,"{'kognition': -0.2230732648103787, 'sozial': 0.17103365005222412, 'affektiv': -0.03547330526212876, 'motivation': 0.273756670742245, 'methodik': -0.03374574329361876, 'performanz': 0.11505564868255874, 'regulation': 0.6127435909584099}"
nicht,28,2.359158607725529,0.2621683578717578,-0.8372977574959438,0.03571428571428571,0.8214285714285714,"{'kognition': -0.670677277171521, 'sozial': 0.08082035624785308, 'affektiv': -0.303834020540771, 'motivation': -0.496942231740059, 'methodik': -0.5456752983660074, 'performanz': -0.7091365933785896, 'regulation': -0.6458135525539731}"
stark,8,2.251082915770699,0.0641856907095666,-1.0619630867076502,0.0,0.625,"{'kognition': -0.5287832952430138, 'sozial': -0.190672015812286, 'affektiv': -0.2805786423280075, 'motivation': -0.43400400832072505, 'methodik': -0.5035984358740587, 'performanz': -0.45344275732631245, 'regulation': -0.2752548875437174}"
ziemlich,2,2.1352202204658233,0.08472702409581878,0.9347056511398999,0.0,1.0,"{'kognition': 0.2402831411561599, 'sozial': 0.10096207181013503, 'affektiv': 0.19119344411310502, 'motivation': 0.5920084731436001, 'methodik': 0.35261718327110003, 'performanz': 0.690710885646415, 'regulation': 0.5974431114935498}"
sehr,44,2.0441133247766197,0.26522960274912155,0.6513473931058271,0.11363636363636363,0.7954545454545454,"{'kognition': 0.0912868928043459, 'sozial': 0.3182640227281218, 'affektiv': 0.14821737550438044, 'motivation': 0.27073552109169463, 'methodik': 0.13503426966504303, 'performanz': 0.1926204544878754, 'regulation': 0.25931025803507995}"
eher,11,2.031892927287122,0.10132888581271166,-0.22315122081345454,0.0,0.6363636363636364,"{'kognition': -0.09315048418885553, 'sozial': -0.21411564355777904, 'affektiv': -0.18384268393652556, 'motivation': -0.12557329691282798, 'methodik': -0.009413780288798156, 'performanz': -0.09239363310419181, 'regulation': -0.031115926633074397}"
aber,4,2.030255686552173,0.5191058805372055,0.74639022862128,0.25,0.75,"{'kognition': 0.45464473464476746, 'sozial': 0.33455342082891426, 'affektiv': 0.0051951835891075535, 'motivation': 0.20259910164691752, 'methodik': 0.42342845002262025, 'performanz': -0.07394233635717047, 'regulation': 0.2963747340460151}"
selten,24,1.9761327925891106,0.2189841494676761,-0.5639484994535487,0.08333333333333333,0.9166666666666666,"{'kognition': 0.006893366189435017, 'sozial': -0.35230302793354057, 'affektiv': -0.26256486695082304, 'motivation': -0.13000996520828334, 'methodik': 0.10514468587258707, 'performanz': -0.08440561827017623, 'regulation': -0.061930179301873334}"
sofort,5,1.973354744213016,0.17576260191781862,-0.9864340582075801,0.0,1.0,"{'kognition': -0.953518012214926, 'sozial': 0.40948507401581596, 'affektiv': 0.1207063194560452, 'motivation': 0.10738967375313195, 'methodik': -1.039612120647214, 'performanz': -0.5505237912734899, 'regulation': -0.46219819383085203}"
wenig,20,1.9724995651574744,0.18468675956623246,-0.8322518596349552,0.05,0.75,"{'kognition': -0.26492960338546195, 'sozial': -0.18848360839204018, 'affektiv': -0.15253747838989212, 'motivation': -0.2551952673241686, 'methodik': -0.2795722546188065, 'performanz': -0.2729559166464635, 'regulation': -0.29304707805956387}"
besonders,16,1.9659513735787522,0.07957726145208541,1.4584768334841876,0.0,0.5625,"{'kognition': 0.8443111477818938, 'sozial': 0.5062987514907761, 'affektiv': -0.16784606244683606, 'motivation': 0.5805926456880268, 'methodik': 0.6201046792390732, 'performanz': 0.646175269564483, 'regulation': 0.6650260713554476}"
fast,6,1.881957512150656,0.3783502139293335,-0.9280844980280801,0.16666666666666666,1.0,"{'kognition': -0.85205181271718, 'sozial': 0.17457089501318002, 'affektiv': 0.06983992085075601, 'motivation': -0.0422340133328567, 'methodik': -0.88818414365206, 'performanz': -0.508515238326572, 'regulation': -0.44901354528767}"
etwas,33,1.878401713758859,0.20565234763190385,-0.5736074496612636,0.06060606060606061,0.696969696969697,"{'kognition': -0.21505696002169397, 'sozial': 0.1925638720665765, 'affektiv': -0.07005657660630116, 'motivation': -0.20791642953833728, 'methodik': -0.15619334910388485, 'performanz': -0.23257366517917002, 'regulation': -0.03440573156690544}"
gelegentlich,9,1.8480875909820622,0.12090983464155489,-0.4192301664599665,0.0,0.7777777777777778,"{'kognition': -0.6308099577035432, 'sozial': 0.5751101393804312, 'affektiv': 0.25419515861091013, 'motivation': 0.2064113522412311, 'methodik': -0.4767621024107811, 'performanz': -0.2375546981069789, 'regulation': -0.1722201762990855}"
meistens,83,1.845318903111926,0.16611622231622572,0.18352969177086353,0.04819277108433735,0.6506024096385542,"{'kognition': 0.2627620981543164, 'sozial': -0.020216854473907003, 'affektiv': -0.05640208209977986, 'motivation': 0.11981888057461557, 'methodik': 0.23876485948609036, 'performanz': 0.0688453271189753, 'regulation': 0.11692475179275005}"
bisschen,1,1.8319061285167695,0.15521885204683716,-0.5564137611365001,0.0,1.0,"{'kognition': -0.84944964999795, 'sozial': 1.1637351958134, 'affektiv': 0.1503620259206, 'motivation': -0.04128873124620003, 'methodik': -0.37421593642110995, 'performanz': -1.04288718049974, 'regulation': 0.16754406391069998}"
stets,9,1.8058082531863242,0.11682537679933223,0.048929356255744315,0.0,0.6666666666666666,"{'kognition': -0.009088088509248915, 'sozial': 0.22749147538796347, 'affektiv': -0.1741484394312659, 'motivation': 0.010992296188227453, 'methodik': 0.24214972857118008, 'performanz': -0.18039703007042002, 'regulation': -0.1579961456753756}"
oftmals,7,1.787707613990214,0.09173721730195003,-0.3589556728368715,0.0,0.2857142857142857,"{'kognition': -0.3419152882930429, 'sozial': 0.5686527388358041, 'affektiv': 0.3561088190244354, 'motivation': 0.1191811157504028, 'methodik': -0.3245893603460828, 'performanz': -0.43226842954097006, 'regulation': -0.28218142148841435}"
jedoch,4,1.7870871019661294,0.04916837993272902,-1.23782069016615,0.0,0.75,"{'kognition': -0.41857833891527496, 'sozial': -0.29409744402806626, 'affektiv': -0.3041260130111675, 'motivation': -0.48082479666970757, 'methodik': -0.5831267774993525, 'performanz': -0.5199210410963175, 'regulation': -0.49366100683054237}"
nur,49,1.7608088650006646,0.2082864250177115,-0.3721458915837138,0.061224489795918366,0.8571428571428571,"{'kognition': -0.12257364222885427, 'sozial': -0.01322998834495477, 'affektiv': -0.21902400376187087, 'motivation': 0.011239820996905096, 'methodik': -0.08923131612432225, 'performanz': -0.09163426108104691, 'regulation': 0.08483083491008017}"
manchmal,4,1.7278612535744973,0.10170115028552726,-0.9160548923834998,0.0,1.0,"{'kognition': -0.9899438503441824, 'sozial': 0.34025503436486926, 'affektiv': -0.528889339897647, 'motivation': 0.11798627644429999, 'methodik': -0.582860388083565, 'performanz': -0.46217127757014004, 'regulation': -0.18006050624212494}"
weniger,9,1.6334180553368176,0.2406481095480152,-0.3074588904702,0.1111111111111111,0.6666666666666666,"{'kognition': 0.03637446974683437, 'sozial': 0.11556455485931477, 'affektiv': 0.5074112385498935, 'motivation': 0.015058715637163335, 'methodik': -0.13161197910754893, 'performanz': 0.20026805756461233, 'regulation': -0.31388032186372666}"
deutlich,9,1.6223344678362699,0.07746709918525749,0.6170963522741968,0.0,0.5555555555555556,"{'kognition': 0.47193662220010996, 'sozial': -0.03687373989803999, 'affektiv': -0.011030821543657754, 'motivation': 0.06381725788101335, 'methodik': 0.4896313358640667, 'performanz': 0.23711822486477774, 'regulation': 0.2932939278114589}"
weitgehend,16,1.5600089121205603,0.05342321713493156,0.78727674797565,0.0,0.625,"{'kognition': 0.5316796726646288, 'sozial': 0.044709750403425175, 'affektiv': -0.09176343831241407, 'motivation': 0.3327679618802107, 'methodik': 0.3993602573702257, 'performanz': 0.27774445292174993, 'regulation': 0.36278419527744626}"
relativ,1,1.5179439330877085,0.11987520941088581,1.1363087877169,0.0,1.0,"{'kognition': -0.11555646194806002, 'sozial': -0.091171299680736, 'affektiv': 0.9040003130823999, 'motivation': 0.9096380263482001, 'methodik': 0.21255776650829006, 'performanz': 0.7537873441929, 'regulation': 0.15637842822540993}"
kaum,4,1.4922378897623854,0.07607644207692477,0.6386976162798375,0.0,0.75,"{'kognition': 0.32806891327285004, 'sozial': -0.009780176071774768, 'affektiv': 0.10126693744456622, 'motivation': 0.29662178937035755, 'methodik': 0.252223363131575, 'performanz': 0.42438902314313764, 'regulation': 0.25640708655746747}"
teilweise,35,1.4845612965406318,0.15197750940263707,0.02574506305161088,0.05714285714285714,0.6285714285714286,"{'kognition': 0.1754573304753292, 'sozial': -0.15784141622834624, 'affektiv': 0.04257889525997508, 'motivation': 0.006061875421324255, 'methodik': 0.1408252113909034, 'performanz': 0.09031987749926662, 'regulation': 0.04085052086691001}"
leicht,6,1.3539811197403913,0.061376119497639194,0.022805253269050068,0.0,0.3333333333333333,"{'kognition': -0.14640953297266657, 'sozial': 0.12541083888099838, 'affektiv': 0.7800676343324534, 'motivation': 0.017474519578016674, 'methodik': -0.2196174665227667, 'performanz': 0.1381770719152499, 'regulation': 0.0480761045260667}"
vereinzelt,3,1.2169631938381953,0.057321327545813615,-0.13777758508320007,0.0,1.0,"{'kognition': -0.1214056131350334, 'sozial': 0.03483108689694999, 'affektiv': -0.7750719503257933, 'motivation': 0.13913912203599996, 'methodik': -0.06653070815460005, 'performanz': -0.13453013520715343, 'regulation': 0.24829632260409987}"
sporadisch,1,0.902701489065701,0.017351871897236415,0.5341060871107,0.0,1.0,"{'kognition': 0.34892713840230005, 'sozial': -0.023238964724279998, 'affektiv': -0.44657424926739997, 'motivation': 0.30325396426999984, 'methodik': 0.45178006714429997, 'performanz': 0.013027320172499968, 'regulation': 0.4437491564750997}"
