from;to;is_change;from_date;to_date;from_record_id;to_record_id;from_sentence_id;to_sentence_id;from_value;to_value;delta_dominance_value;from_polarity;to_polarity;polarity_change;from_d_semantisch;to_d_semantisch;delta_d_semantisch;from_operator_count;to_operator_count;from_has_operator;to_has_operator
kognition;kognition;False;2025-10-23;2025-10-23;751;752;1129;1130;2.4410982889583;1.752927244018;-0.6881710449403002;1;1;False;4.2776947265947;3.2645506643148;-1.0131440622799004;0;0;0;0
kognition;regulation;True;2025-10-23;2025-10-23;752;753;1130;1131;1.752927244018;1.6593102589405;-0.09361698507749994;1;1;False;3.2645506643148;3.445161991689;0.18061132737420005;0;0;0;0
regulation;motivation;True;2025-10-23;2025-10-23;753;754;1131;1132;1.6593102589405;0.292;-1.3673102589405;1;1;False;3.445161991689;0.47720959755646;-2.96795239413254;0;0;0;0
motivation;regulation;True;2025-10-23;2025-10-23;754;755;1132;1133;0.292;1.9411488061702;1.6491488061702;1;1;False;0.47720959755646;3.6709941375368;3.19378453998034;0;1;0;1
kognition;motivation;True;2025-09-02;2025-09-02;724;725;1102;1103;1.7309928114047;1.2801121571725;-0.4508806542321999;1;1;False;3.211982786319;2.2824880971967;-0.9294946891223002;2;0;1;0
motivation;regulation;True;2025-09-02;2025-09-02;725;726;1103;1104;1.2801121571725;0.47888898712129;-0.80122317005121;1;1;False;2.2824880971967;0.77591450022383;-1.5065735969728697;0;1;0;1
regulation;performanz;True;2025-09-02;2025-09-02;726;727;1104;1105;0.47888898712129;2.1296617818885;1.6507727947672102;1;1;False;0.77591450022383;4.1758633815523;3.3999488813284695;1;1;1;1
performanz;motivation;True;2025-09-02;2025-09-02;727;728;1105;1106;2.1296617818885;1.9323937282884;-0.19726805360010014;1;1;False;4.1758633815523;4.094843055123;-0.08102032642929924;1;2;1;1
motivation;kognition;True;2025-09-02;2025-10-23;728;700;1106;1077;1.9323937282884;1.6517086769815;-0.28068505130690014;1;1;False;4.094843055123;3.1105149252108;-0.9843281299122002;2;0;1;0
kognition;kognition;False;2025-10-23;2025-10-23;700;701;1077;1078;1.6517086769815;0.4788;-1.1729086769814998;1;1;False;3.1105149252108;0.87330889831434;-2.23720602689646;0;2;0;1
kognition;regulation;True;2025-10-23;2025-10-23;701;702;1078;1079;0.4788;1.1071349014458;0.6283349014458001;1;1;False;0.87330889831434;2.2195795672921;1.34627066897776;2;2;1;1
regulation;performanz;True;2025-10-23;2025-10-27;702;690;1079;1067;1.1071349014458;1.4253665391979;0.31823163775209995;1;1;False;2.2195795672921;2.8935343055325;0.6739547382404001;2;0;1;0
performanz;kognition;True;2025-10-27;2025-10-27;690;691;1067;1068;1.4253665391979;2.1149148429999;0.6895483038019998;1;1;False;2.8935343055325;2.9207356266883;0.027201321155799985;0;1;0;1
kognition;performanz;True;2025-10-27;2025-10-27;691;692;1068;1069;2.1149148429999;1.7349960417186;-0.37991880128129996;1;1;False;2.9207356266883;3.0088267944093;0.08809116772100012;1;0;1;0
performanz;regulation;True;2025-10-27;2025-10-27;692;693;1069;1070;1.7349960417186;2.0107729389583;0.2757768972396999;1;1;False;3.0088267944093;4.1826548987587;1.1738281043493997;0;2;0;1
regulation;regulation;False;2025-10-27;2025-10-27;693;694;1070;1071;2.0107729389583;1.4279047558095;-0.5828681831487998;1;1;False;4.1826548987587;3.0240571504654;-1.1585977482932996;2;2;1;1
regulation;kognition;True;2025-10-27;2025-11-27;694;1173;1071;1736;1.4279047558095;1.2955716240704;-0.13233313173909989;1;1;False;3.0240571504654;2.2281129454848;-0.7959442049806;2;2;1;1
kognition;kognition;False;2025-11-27;2025-11-27;1173;1174;1736;1737;1.2955716240704;2.1025459180996;0.8069742940292;1;1;False;2.2281129454848;3.2172632644708;0.9891503189859998;2;1;1;1
kognition;kognition;False;2025-11-27;2025-11-27;1174;1175;1737;1738;2.1025459180996;1.884870137549;-0.2176757805506;1;1;False;3.2172632644708;3.6334044341863;0.41614116971549997;1;2;1;1
kognition;kognition;False;2025-11-27;2025-11-27;1175;1176;1738;1739;1.884870137549;2.0200886874742;0.1352185499252001;1;1;False;3.6334044341863;3.6862887062023;0.0528842720160001;2;2;1;1
kognition;kognition;False;2025-11-27;2025-11-27;1176;1177;1739;1740;2.0200886874742;0.6297819547903;-1.3903067326839;1;1;False;3.6862887062023;1.113032525307;-2.5732561808953003;2;2;1;1
performanz;kognition;True;2025-08-25;2025-08-25;904;905;1341;1342;2.1625397852702;1.8124059963247;-0.3501337889455003;1;1;False;4.5039203437359;2.7008782028216;-1.8030421409143003;0;0;0;0
kognition;kognition;False;2025-08-25;2025-08-25;905;906;1342;1343;1.8124059963247;1.8759903888504;0.06358439252570003;1;1;False;2.7008782028216;3.4630972641871;0.7622190613655002;0;0;0;0
kognition;motivation;True;2025-08-25;2025-08-25;906;907;1343;1344;1.8759903888504;1.8151486855143;-0.06084170333609995;1;1;False;3.4630972641871;2.9587323352089;-0.5043649289782;0;0;0;0
motivation;regulation;True;2025-08-25;2025-08-25;907;908;1344;1345;1.8151486855143;1.8319677065092;0.016819020994899958;1;1;False;2.9587323352089;3.9096314098023;0.9508990745934001;0;1;0;1
regulation;performanz;True;2025-08-25;2025-09-02;908;895;1345;1332;1.8319677065092;1.4253665391979;-0.4066011673112999;1;1;False;3.9096314098023;2.8935343055325;-1.0160971042698002;1;0;1;0
performanz;kognition;True;2025-09-02;2025-09-02;895;896;1332;1333;1.4253665391979;2.1149148429999;0.6895483038019998;1;1;False;2.8935343055325;2.9207356266883;0.027201321155799985;0;1;0;1
kognition;methodik;True;2025-09-02;2025-09-02;896;897;1333;1334;2.1149148429999;1.3071304723696;-0.8077843706302998;1;1;False;2.9207356266883;2.3428052989296;-0.5779303277587;1;2;1;1
methodik;kognition;True;2025-09-02;2025-09-02;897;898;1334;1335;1.3071304723696;1.8346238946577;0.5274934222881;1;1;False;2.3428052989296;3.050519966414;0.7077146674843999;2;0;1;0
kognition;kognition;False;2025-01-30;2025-09-04;540;511;810;730;2.1556184500854;1.919667488646;-0.2359509614394002;1;1;False;3.7194891481524;3.1988921097457;-0.5205970384067;1;0;1;0
