from;to;is_change;from_date;to_date;from_record_id;to_record_id;from_sentence_id;to_sentence_id;from_value;to_value;delta_dominance_value;from_polarity;to_polarity;polarity_change;from_d_semantisch;to_d_semantisch;delta_d_semantisch;from_operator_count;to_operator_count;from_has_operator;to_has_operator
regulation;regulation;False;2025-02-06;2025-02-13;539;538;807;805;1.0;1.0;0.0;1;1;False;1.4952397801022;1.4952397801022;0.0;0;0;0;0
regulation;kognition;True;2025-02-13;2025-03-13;538;534;805;792;1.0;1.8144776230582;0.8144776230582;1;1;False;1.4952397801022;3.3666875653448;1.8714477852426001;0;0;0;0
kognition;kognition;False;2025-03-13;2025-03-27;534;532;792;786;1.8144776230582;1.4014261761902;-0.413051446868;1;1;False;3.3666875653448;2.1532236836758;-1.213463881669;0;0;0;0
kognition;kognition;False;2024-09-02;2024-11-11;2395;2388;3034;3011;0.72681123842791;1.4354708924276;0.7086596539996901;1;1;False;1.0184943337936;2.3593873890246;1.3408930552309999;3;0;1;0
kognition;kognition;False;2024-11-11;2024-11-25;2388;2386;3011;3006;1.4354708924276;0.86347584687083;-0.57199504555677;1;1;False;2.3593873890246;1.1084815641225;-1.2509058249021;0;2;0;1
performanz;sozial;True;2024-10-25;2025-01-10;917;913;1419;1399;1.3830068243652;2.0475921405152;0.6645853161500002;1;1;False;1.5492797040439;3.3673681826531;1.8180884786092002;3;2;1;1
regulation;regulation;False;2024-06-12;2024-08-14;2399;2397;3045;3040;1.9720680414444;1.0;-0.9720680414444001;1;1;False;4.2682976181147;1.4952397801022;-2.7730578380125004;1;0;1;0
regulation;regulation;False;2024-08-14;2024-08-28;2397;2396;3040;3036;1.0;1.0;0.0;1;1;False;1.4952397801022;1.4952397801022;0.0;0;0;0;0
regulation;kognition;True;2025-05-05;2025-05-12;2377;2376;2964;2961;1.892760396549;2.4418662631931;0.5491058666440998;1;1;False;3.9135514572177;3.8926795210269;-0.020871936190800078;0;0;0;0
kognition;regulation;True;2025-05-12;2025-05-19;2376;2375;2961;2958;2.4418662631931;1.9675111922216;-0.47435507097149987;1;1;False;3.8926795210269;3.6332058772968;-0.2594736437301002;0;0;0;0
regulation;performanz;True;2025-05-19;2025-05-26;2375;2374;2958;2955;1.9675111922216;2.1022287060364;0.13471751381480024;1;1;False;3.6332058772968;3.6437448867909;0.010539009494100249;0;0;0;0
performanz;kognition;True;2025-05-26;2025-08-18;2374;2373;2955;2951;2.1022287060364;2.9796031696704;0.8773744636339997;1;1;False;3.6437448867909;4.9791815574595;1.3354366706686003;0;1;0;1
kognition;performanz;True;2025-08-18;2025-08-25;2373;2368;2951;2945;2.9796031696704;2.1834193470863;-0.7961838225841;1;1;False;4.9791815574595;4.7272578340427;-0.2519237234168008;1;1;1;1
performanz;kognition;True;2025-08-25;2025-08-25;2368;2369;2945;2946;2.1834193470863;2.0339856327016;-0.1494337143847;1;1;False;4.7272578340427;3.7777885891187;-0.9494692449239994;1;0;1;0
kognition;regulation;True;2025-08-25;2025-08-25;2369;2370;2946;2947;2.0339856327016;1.4279047558095;-0.6060808768921;1;1;False;3.7777885891187;3.0240571504654;-0.7537314386533001;0;2;0;1
