datum,path_key,lehrkraft_id,gruppe_id,teilnehmer_id,fach,thema,dominante_dimension,dominante_dimension_wert,polaritaet_gesamt,d_semantisch,token_anzahl,funktionsklassen_anzahl_gesamt,operator_count,modulator_count,has_operator,drift_norm,cosine_prev,delta_dichte,polaritaetswechsel,dominanzwechsel,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation,rolling_dichte,rolling_drift,rolling_cohesion,drift_window,z_drift,z_delta_dichte,changepoint_score,is_changepoint,phase
2024-05-27,lk=10|g=0|tn=12,10,0,12,MAT,Mathematik: Zuordnungen,kognition,0.811,1,0.99141868047763,1,1,0,0,0,0.0,,0.0,0,0,0.81801143740294,0.0,0.17853023972912,0.0,0.48515844807745,0.25216135554961,0.0,0.99141868047763,0.0,1.0,0.0,-1.0055322587143978,-1.0987916456615192,0.0,0,Einstieg
2024-06-12,lk=10|g=4|tn=12,10,4,12,MAT,Mathematik: Brüche,regulation,1.9720680414444,1,4.2682976181147,6,5,1,1,1,0.0,,0.0,0,0,0.42123744044348,0.086383249056085,0.20650898079698,0.4477473853082,0.39851133620073,0.44686631738203,0.46202575303498,4.2682976181147,0.0,1.0,0.0,-1.0055322587143978,-1.0987916456615192,0.0,0,Einstieg
2024-08-14,lk=10|g=4|tn=12,10,4,12,MAT,Mathematik: Geometrie,regulation,1.0,1,1.4952397801022,1,1,0,0,0,0.2797995373260407,0.9608557559663998,-2.7730578380125004,0,0,0.33907378335502,0.033439229127714,0.080254149906513,0.39057019621169,0.3216853842086,0.41732157951387,0.66878458255427,2.8817686991084503,0.13989976866302034,0.9804278779831999,0.2797995373260407,-0.31279598966199457,2.180298814991596,2.180298814991596,1,Aktivierung
2024-08-28,lk=10|g=4|tn=12,10,4,12,MAT,Mathematik: Rationale Zahlen,regulation,1.0,1,1.4952397801022,1,1,0,0,0,0.0,0.9999999999999999,0.0,0,0,0.33907378335502,0.033439229127714,0.080254149906513,0.39057019621169,0.3216853842086,0.41732157951387,0.66878458255427,2.4195923927730334,0.09326651244201356,0.9869519186554666,0.2797995373260407,-1.0055322587143978,-1.0987916456615192,0.0,0,Abschlussstabilisierung
2025-05-05,lk=12|g=0|tn=12,12,0,12,MAT,Prozent- und Zinsrechnung: Monats- und Tageszins,regulation,1.892760396549,1,3.9135514572177,7,5,0,0,0,0.0,,0.0,0,0,0.48290780948926,0.11731649097598,0.12662994423003,0.34729939776507,0.45097294355673,0.42319516836709,0.48364141389889,3.9135514572177,0.0,1.0,0.0,-1.0055322587143978,-1.0987916456615192,0.0,0,Einstieg
2025-05-12,lk=12|g=0|tn=12,12,0,12,MAT,Prozent- und Zinsrechnung: Prozentrechnung,kognition,2.4418662631931,1,3.8926795210269,6,3,0,0,0,0.28169516638469244,0.9603237133113507,-0.020871936190800078,0,1,0.62729540848379,0.090561723482318,0.22717583235997,0.21605312167863,0.49577012117614,0.39124498306449,0.31803371973125,3.9031154891223,0.14084758319234622,0.9801618566556753,0.28169516638469244,-0.30810273314646447,-1.0741109607077333,1.0,0,Aktivierung
2025-05-19,lk=12|g=0|tn=12,12,0,12,MAT,Prozent- und Zinsrechnung: Prozentwerte berechnen,regulation,1.9675111922216,1,3.6332058772968,5,3,0,0,0,0.43054608780131964,0.9073145399329753,-0.2594736437301002,0,1,0.36460133817623,0.14073107902661,0.12452320262745,0.41522702857721,0.39809856392654,0.45562450837578,0.54153434826599,3.8131456185138,0.23741375139533738,0.9558794177481086,0.7122412541860121,0.06042693967787311,-0.7919687809223953,1.0604269396778732,0,Aktivierung
2025-05-26,lk=12|g=0|tn=12,12,0,12,MAT,Prozent- und Zinsrechnung: Prozentrechnung,performanz,2.1022287060364,1,3.6437448867909,4,4,0,0,0,0.2618165708621088,0.9657258532129859,0.010539009494100249,0,1,0.48094905762344,0.011578306306002,0.1378347682621,0.35598328282003,0.35081221288435,0.57694020902922,0.40852995418407,3.770795435583075,0.24351445626203022,0.958341026614328,0.9740578250481209,-0.3573187691267884,-1.0863294586046472,1.0,0,Aktivierung
2025-08-18,lk=12|g=0|tn=12,12,0,12,MAT,Brüche: Wiederholung Klasse 7 + Übung Grundrechenarten gemischte Brüche,kognition,2.9796031696704,1,4.9791815574595,10,6,1,0,1,0.278546350899913,0.9612057808202722,1.3354366706686003,0,1,0.59841103425848,0.076333183634341,0.15553733272238,0.25744224192988,0.48917452388565,0.40541565792172,0.37676454468877,4.012472659958361,0.25052083518960677,0.9589139774555168,1.2526041759480337,-0.31589866702007474,0.4803379302056335,1.4803379302056334,1,Aktivierung
2025-08-25,lk=12|g=0|tn=12,12,0,12,MAT,Prozent- und Zinsrechnung: Zinsrechnung,performanz,2.1834193470863,1,4.7272578340427,6,5,1,0,1,0.3297480022259523,0.9456329033181924,-0.2519237234168008,0,1,0.40939526234525,0.19494675496675,0.26216929806182,0.43140491422681,0.38087108066135,0.46187764766845,0.42561763210998,4.17521393532336,0.31647043563479726,0.9480405581191553,1.5823521781739862,-0.18913204957713223,-0.8008964243846661,1.0,0,Aktivierung
2025-08-25,lk=12|g=0|tn=12,12,0,12,MAT,Prozent- und Zinsrechnung: Zinsrechnung,kognition,2.0339856327016,1,3.7777885891187,6,4,0,0,0,0.2035726397310129,0.9792789914943568,-0.9494692449239994,0,1,0.53840499558663,0.20501595204781,0.31038098396524,0.33358174359969,0.42191361623921,0.41611001111322,0.33062282175447,4.15223574894172,0.3008459303040613,0.9518316137557565,1.5042296515203066,-0.5015208787238631,0.023938468739999587,1.0239384687399995,0,Konsolidierung
2025-08-25,lk=12|g=0|tn=12,12,0,12,MAT,Prozent- und Zinsrechnung: Zinsrechnung,regulation,1.4279047558095,1,3.0240571504654,4,4,2,0,1,0.4687396258684647,0.8901409274871842,-0.7537314386533001,0,1,0.33940662801459,0.35165369924952,-0.028935370103071,0.47015906248171,0.44061701743393,0.34950231383445,0.47218024096779,4.03040600357544,0.3084846379174903,0.9483968912665983,1.5424231895874516,0.1549876716769198,-0.2075179273485282,1.1549876716769198,0,Destabilisierung
2025-08-25,lk=12|g=0|tn=12,12,0,12,MAT,Prozent- und Zinsrechnung: Zinsrechnung,motivation,0.85188551646247,1,1.5890209998845,5,5,0,0,0,0.6666350901028458,0.7777966951906298,-1.4350361505809002,0,1,0.33406255970934,0.45645506608696,0.46047891028742,0.53610377426518,0.18684581263477,0.36274856741847,0.11871153327529,3.61946122619416,0.3894483417656377,0.9108110596621272,1.9472417088281886,0.6449433265941509,0.5981125038151442,2.243055830409295,1,Destabilisierung
2025-08-25,lk=12|g=0|tn=12,12,0,12,MAT,Prozent- und Zinsrechnung: Zinsrechnung,regulation,1.5571762433389,1,2.3208408179343,3,3,1,0,1,0.7638736664533137,0.7082454177041968,0.7318198180497999,0,1,0.2885285852229,0.17105795725093,0.087808235107792,0.35518519692206,0.3070362668932,0.45735000746242,0.67095059764542,3.0877930782891196,0.48651380487631785,0.860218987038912,2.432569024381589,0.8856895738279241,-0.23342802021189374,1.885689573827924,1,Destabilisierung
2025-09-01,lk=12|g=0|tn=12,12,0,12,MAT,Weitere Themen: Geografie,kognition,2.0164952679339,1,3.535433115609,5,2,1,0,1,0.48493079245028353,0.8824202240713472,1.2145922976747001,0,1,0.57036563791144,0.033016511423778,0.12199100767119,0.31734595650186,0.47925212650319,0.45533452674429,0.3478288343536,2.8494281346023795,0.5175503629211841,0.847576451189543,2.5877518146059204,0.19507425808333434,0.33744165690182415,1.5325159149851584,1,Destabilisierung
2025-09-01,lk=12|g=0|tn=12,12,0,12,MAT,Weitere Themen: Geografie,performanz,1.4780206620485,1,3.1813676431278,3,3,0,0,0,0.3535325591780323,0.9375069916058674,-0.3540654724811998,0,1,0.43697363840821,0.31432923474525,0.046982968609961,0.43014855236104,0.39172434957001,0.46458510363938,0.39207451324792,2.7301439454042002,0.547542346810588,0.8392220512118451,2.7377117340529398,-0.13024551459030384,-0.6801156637383081,1.0,0,Aktivierung
2025-09-01,lk=12|g=0|tn=12,12,0,12,MAT,Weitere Themen: Geografie,methodik,2.0534298272575,1,3.8995392280503,6,4,0,0,0,0.37079857345319844,0.9312538165812649,0.7181715849224997,0,1,0.51572033646035,0.023111379596837,0.14713864022183,0.29720121974227,0.52658133214136,0.45873431996406,0.3684967432254,2.90524036092118,0.5279541363275347,0.8474446290306611,2.639770681637674,-0.08749778732567064,-0.24956680766847847,1.0,0,Rekonstruktion
2025-09-01,lk=12|g=0|tn=12,12,0,12,MAT,Weitere Themen: Geografie,kognition,1.8644313920995,1,3.3659078131316,5,3,0,0,0,0.1579236488404015,0.9875299915426978,-0.5336314149187,0,1,0.55391471081846,0.027419524844313,0.15221827542323,0.29709727428258,0.43315863907753,0.40624546152473,0.47783024759156,3.2606177235705998,0.4262118480750459,0.889391288301075,2.1310592403752295,-0.6145400492978317,-0.4677822025195525,1.0,0,Konsolidierung
2025-09-01,lk=12|g=0|tn=12,12,0,12,MAT,Weitere Themen: Geografie,motivation,1.1646065491769,1,2.3654242772316,2,2,4,1,1,0.5276035592765752,0.860816240206003,-1.0004835359,0,1,0.32899178951382,0.42911044764118,0.0065736010195556,0.49234365139069,0.36822892694217,0.37707320345214,0.432894842167,3.26953441543006,0.37895782663969824,0.9199054528014361,1.8947891331984912,0.3007248019115827,0.08426194003704202,1.3849867419486248,1,Destabilisierung
2025-09-01,lk=12|g=0|tn=12,12,0,12,MAT,Weitere Themen: Geografie,performanz,1.0,1,1.2396455138466,4,2,0,0,0,0.7403977274381509,0.7259022327758197,-1.1257787633849998,0,1,0.24522941785392,0.0,0.28233650081865,0.35332396388163,0.19360217198993,0.80667571662473,0.21699576777205,2.8103768950775803,0.4300512136372717,0.8886018545423304,2.1502560681863585,0.8275671245870045,0.2324212678301802,2.0599883924171847,1,Destabilisierung
2025-09-15,lk=12|g=0|tn=12,12,0,12,MAT,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,kognition,2.4410982889583,1,4.2776947265947,7,5,0,0,0,0.6421485844490196,0.7938204525786235,3.0380492127481,0,1,0.57065609830007,0.061680906507123,0.098417161158226,0.35536178558859,0.45537212052641,0.40162071683407,0.40732235788888,3.02964231177096,0.48777441869146915,0.8598645467368818,2.438872093457346,0.584318885500111,2.493646296295353,4.077965181795465,1,Destabilisierung
2025-09-15,lk=12|g=0|tn=12,12,0,12,MAT,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,kognition,2.6228056368715,1,4.6361765459891,7,4,0,0,0,0.1042864022536135,0.9945621487113184,0.3584818193943997,0,0,0.56572478498315,0.048988682338982,0.17044432813436,0.3147111289115,0.48920271513479,0.42441388016159,0.36056963398192,3.17696977535872,0.4344719844515521,0.8725262131628926,2.1723599222577605,-0.7473367881268816,-0.6748934138322664,0.0,0,Konsolidierung
2025-09-15,lk=12|g=0|tn=12,12,0,12,MAT,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,kognition,1.65799276022,1,2.5548891531968,3,2,1,0,1,0.3445103652317985,0.9406559438485654,-2.0812873927923,0,0,0.64894645964613,0.0,0.26242424293343,0.17143533804532,0.43067955000217,0.53294810871909,0.10528791309176,3.0147660433717602,0.4717893277298315,0.863151403624066,2.3589466386491575,-0.1525829388502241,1.3622928445466724,1.3622928445466724,1,Aktivierung
2025-09-15,lk=12|g=0|tn=12,12,0,12,MAT,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,performanz,1.7816761805797,1,3.5517580419398,5,5,1,1,1,0.4810962859164742,0.8842724030461485,0.9968688887430002,0,1,0.42323574484856,0.16129366203002,0.30455667553456,0.39291713687201,0.3511092726904,0.50163078206162,0.4156926989252,3.2520327963134,0.46248787305781136,0.867842636192095,2.3124393652890567,0.18558066929732842,0.07998768551242671,1.2655683548097552,1,Destabilisierung
2025-09-15,lk=12|g=0|tn=12,12,0,12,MAT,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,motivation,1.2052751378734,1,2.5677818078907,3,3,2,1,1,0.423886946565499,0.9101593254456819,-0.9839762340490998,0,1,0.35414748083857,0.38945317322984,-0.016509864641924,0.46938195463106,0.38464361882541,0.39297273842287,0.44713277366814,3.51766005512222,0.39918571688328097,0.9046940547260676,1.9959285844164047,0.04394003373485154,0.06474235581185211,1.1086823895467037,0,Ermüdung
2025-09-15,lk=12|g=0|tn=12,12,0,12,MAT,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,performanz,-4.8289365008686,-1,8.2665624494096,6,5,2,0,1,1.9449229674075164,-0.8913723282927966,5.6987806415188995,1,1,-0.48243190746461,-0.021838398418002,-0.081585814298826,-0.335840333101,-0.3736696815313,-0.58415220218792,-0.40801019470689,4.3154335996852,0.6597405934749803,0.5676554985517834,3.2987029673749015,3.809767626739766,5.639912820867904,11.94968044760767,1,Destabilisierung
