cluster,dwell_length
0,4
0,1
1,1
0,10
0,3
0,5
0,5
0,10
0,7
0,5
0,7
0,14
0,38
1,1
0,20
0,14
1,1
0,34
1,1
0,6
0,5
1,1
0,30
0,7
1,1
0,40
1,1
0,2
1,1
0,2
0,21
0,22
1,1
0,8
1,1
0,13
0,9
1,1
0,5
1,1
0,25
0,4
0,12
1,1
0,41
0,21
1,1
0,35
0,11
1,1
0,25
1,1
0,17
0,5
0,22
1,2
0,1
1,1
0,20
1,1
0,2
0,45
0,10
0,2
1,1
0,24
1,1
0,29
0,15
1,1
0,1
1,1
0,28
0,17
1,1
0,14
1,1
0,7
1,1
0,20
0,6
1,1
0,32
0,37
0,15
1,1
0,5
0,36
1,1
0,11
0,7
1,1
0,37
0,9
1,1
0,41
1,1
0,10
1,1
0,1
1,1
0,10
0,25
1,1
0,25
0,3
1,1
0,24
1,1
0,7
1,1
0,15
0,6
1,1
0,34
0,1
1,1
0,10
0,46
0,14
0,1
1,1
0,31
1,1
0,21
0,59
0,30
0,2
1,1
0,1
1,1
0,18
0,13
1,1
0,11
1,1
0,10
0,5
1,1
0,3
1,1
0,20
0,35
0,27
0,4
0,9
1,1
0,10
1,1
0,45
0,4
1,1
0,3
0,11
0,8
0,11
0,6
1,1
0,19
0,5
0,21
0,3
0,5
0,4
0,4
0,5
0,4
0,5
1,1
0,12
0,19
1,1
0,17
0,16
1,1
0,14
0,5
0,4
1,1
0,23
0,7
1,1
0,2
1,1
0,52
0,8
0,14
0,5
0,5
0,11
1,2
0,3
0,1
1,1
0,17
0,5
0,4
0,5
0,4
0,5
0,2
1,1
0,2
0,6
0,10
1,1
0,25
0,1
1,1
0,7
0,4
1,1
0,3
1,1
0,1
0,4
0,4
0,11
0,3
0,5
1,1
0,15
0,15
0,12
0,12
0,23
0,15
1,1
0,8
0,10
0,15
0,21
0,5
1,1
0,2
1,1
0,4
0,13
1,1
0,2
0,6
0,5
0,7
0,10
0,4
0,4
1,1
0,3
0,6
1,1
0,2
0,4
0,4
0,4
0,3
0,21
0,26
1,2
0,5
0,4
0,6
