id,zeitpunkt,lehrkraft_id,gruppe_id,teilnehmer_id,from_cluster,to_cluster,delta_norm,threshold,cluster_change,polaritaetswechsel,dominanzwechsel,dominante_dimension_alt,dominante_dimension_neu
753,2025-10-23 17:10:00,1,0,2,0,0,1.3838704375421766,1.3420884254133527,0,0,1,kognition,regulation
701,2025-10-23 17:10:00,1,0,4,0,1,2.257055621504764,1.9939807081670793,1,0,0,kognition,kognition
702,2025-10-23 17:10:00,1,0,4,1,0,1.415525059790622,1.9939807081670793,1,0,1,kognition,regulation
690,2025-10-27 17:10:00,1,0,4,0,0,1.1436175407752436,1.9939807081670793,0,0,1,regulation,performanz
693,2025-10-27 17:10:00,1,0,4,0,0,1.5351939001456008,1.9939807081670793,0,0,1,performanz,regulation
1173,2025-11-27 17:10:00,1,0,4,0,0,1.4350005358313276,1.9939807081670793,0,0,1,regulation,kognition
1177,2025-11-27 17:10:00,1,0,4,0,1,2.5915933950516306,1.9939807081670793,1,0,0,kognition,kognition
897,2025-09-02 17:10:00,1,0,6,0,0,0.8538414701131618,1.5106380441110518,0,0,1,performanz,methodik
898,2025-09-02 17:10:00,1,0,6,0,0,1.5106380441110516,1.5106380441110518,0,0,1,methodik,kognition
513,2025-09-04 17:10:00,1,0,8,0,0,1.8938506275444398,2.0636397344106823,0,0,1,kognition,performanz
515,2025-09-04 17:10:00,1,0,8,0,0,2.0650353998271966,2.0636397344106823,0,0,1,performanz,regulation
2349,2025-09-08 17:10:00,1,0,12,0,0,0.8502749088600128,1.8887760185778069,0,0,1,performanz,kognition
2352,2025-09-08 17:10:00,1,0,12,0,0,2.2075860786061514,1.8887760185778069,0,0,1,kognition,performanz
192,2025-09-22 17:10:00,1,0,13,0,0,2.462025204763794,1.8696944958346333,0,0,0,kognition,kognition
1670,2025-12-01 17:10:00,1,0,13,0,0,1.9609487569383166,1.8696944958346333,0,0,1,kognition,regulation
1671,2025-12-01 17:10:00,1,0,13,0,0,1.2619730536972624,1.8696944958346333,0,0,1,regulation,performanz
1672,2025-12-01 17:10:00,1,0,13,0,0,1.2512970316744692,1.8696944958346333,0,0,1,performanz,kognition
321,2025-11-05 17:10:00,1,0,15,0,0,0.9500478052862262,2.047444728226344,0,0,1,kognition,performanz
322,2025-11-05 17:10:00,1,0,15,0,0,1.2519940158190173,2.047444728226344,0,0,1,performanz,motivation
1310,2025-12-10 17:10:00,1,0,15,0,0,2.1976381049529805,2.047444728226344,0,0,1,motivation,performanz
1312,2025-12-10 17:10:00,1,0,15,0,0,1.9303836828090848,2.047444728226344,0,0,1,performanz,regulation
1313,2025-12-10 17:10:00,1,0,15,0,0,1.958473002493601,2.047444728226344,0,0,1,regulation,motivation
2528,2025-10-22 17:10:00,1,0,18,0,0,2.9961257132248877,2.642293934707617,0,0,0,kognition,kognition
2530,2025-10-22 17:10:00,1,0,18,0,0,1.7741053986309536,2.642293934707617,0,0,1,kognition,motivation
991,2025-11-28 17:10:00,1,0,42,0,0,2.2616737513696274,1.9678960530589127,0,0,1,performanz,kognition
988,2025-12-05 17:10:00,1,0,42,0,0,1.3981362808162667,1.9678960530589127,0,0,1,kognition,regulation
989,2025-12-05 17:10:00,1,0,42,0,0,1.7663047750567775,1.9678960530589127,0,0,1,regulation,performanz
2035,2025-12-02 17:10:00,1,0,47,0,0,1.4339431027824512,1.9495683428795845,0,0,1,performanz,kognition
2036,2025-12-02 17:10:00,1,0,47,0,0,2.0718531179110373,1.9495683428795845,0,0,0,kognition,kognition
2037,2025-12-02 17:10:00,1,0,47,0,0,2.6149048128565062,1.9495683428795845,0,0,1,kognition,performanz
2038,2025-12-02 17:10:00,1,0,47,0,0,1.074996542294657,1.9495683428795845,0,0,1,performanz,regulation
2029,2025-12-04 17:10:00,1,0,47,0,0,1.2837460250894215,1.9495683428795845,0,0,1,regulation,performanz
2030,2025-12-04 17:10:00,1,0,47,0,0,0.6185083320889618,1.9495683428795845,0,0,1,performanz,methodik
2031,2025-12-04 17:10:00,1,0,47,0,0,1.2184995816720627,1.9495683428795845,0,0,1,methodik,performanz
2032,2025-12-04 17:10:00,1,0,47,0,0,0.9427800428239391,1.9495683428795845,0,0,1,performanz,methodik
2033,2025-12-04 17:10:00,1,0,47,0,0,0.9293498476344039,1.9495683428795845,0,0,1,methodik,performanz
2024,2025-12-09 17:10:00,1,0,47,0,0,2.1237210804196898,1.9495683428795845,0,0,1,performanz,kognition
2026,2025-12-09 17:10:00,1,0,47,0,0,1.77847811052583,1.9495683428795845,0,0,1,kognition,performanz
2028,2025-12-09 17:10:00,1,0,47,0,0,0.8685817876818176,1.9495683428795845,0,0,1,performanz,kognition
804,2025-09-01 15:35:00,1,1,2,0,0,1.6513493449542715,2.783993470356081,0,0,1,regulation,kognition
805,2025-09-01 15:35:00,1,1,2,0,0,1.4694700471012192,2.783993470356081,0,0,1,kognition,regulation
806,2025-09-01 15:35:00,1,1,2,0,0,3.3194846112761613,2.783993470356081,0,0,0,regulation,regulation
807,2025-09-01 15:35:00,1,1,2,0,0,1.3383918686918415,2.783993470356081,0,0,1,regulation,motivation
793,2025-09-15 15:35:00,1,1,2,0,0,2.38399682979781,2.783993470356081,0,0,1,motivation,kognition
795,2025-09-15 15:35:00,1,1,2,0,0,1.9855095268702774,2.783993470356081,0,0,1,kognition,motivation
796,2025-09-15 15:35:00,1,1,2,0,0,2.502516864426083,2.783993470356081,0,0,1,motivation,regulation
797,2025-09-15 15:35:00,1,1,2,0,0,1.4522522928018833,2.783993470356081,0,0,1,regulation,kognition
785,2025-09-22 15:35:00,1,1,2,0,0,0.7174535582377145,2.783993470356081,0,0,1,kognition,performanz
786,2025-09-22 15:35:00,1,1,2,0,0,1.6742853124168762,2.783993470356081,0,0,1,performanz,kognition
787,2025-09-22 15:35:00,1,1,2,0,0,1.708096604061191,2.783993470356081,0,0,1,kognition,performanz
774,2025-09-29 15:35:00,1,1,2,0,0,2.0527249711672892,2.783993470356081,0,0,1,performanz,kognition
775,2025-09-29 15:35:00,1,1,2,0,0,1.7534565603386043,2.783993470356081,0,0,1,kognition,performanz
776,2025-09-29 15:35:00,1,1,2,0,0,1.853510522632076,2.783993470356081,0,0,1,performanz,regulation
777,2025-09-29 15:35:00,1,1,2,0,0,2.813277622343823,2.783993470356081,0,0,1,regulation,kognition
762,2025-10-20 15:35:00,1,1,2,0,0,1.1501525140663302,2.783993470356081,0,0,1,kognition,performanz
