id,zeitpunkt,lehrkraft_id,gruppe_id,teilnehmer_id,from_cluster,to_cluster,delta_norm,threshold,cluster_change,polaritaetswechsel,dominanzwechsel,dominante_dimension_alt,dominante_dimension_neu
2358,2025-09-01 17:10:00,12,0,12,0,0,1.2373940953711495,3.8500146090630523,0,0,1,kognition,performanz
2359,2025-09-01 17:10:00,12,0,12,0,0,1.490463877062278,3.8500146090630523,0,0,1,performanz,methodik
2360,2025-09-01 17:10:00,12,0,12,0,0,0.7823761362093319,3.8500146090630523,0,0,1,methodik,kognition
2361,2025-09-01 17:10:00,12,0,12,0,0,1.793676068491887,3.8500146090630523,0,0,1,kognition,motivation
2338,2025-09-15 17:10:00,12,0,12,0,0,2.4451087773212468,3.8500146090630523,0,0,1,motivation,kognition
2341,2025-09-15 17:10:00,12,0,12,0,0,1.7786513653449383,3.8500146090630523,0,0,1,kognition,performanz
2342,2025-09-15 17:10:00,12,0,12,0,0,1.3990026840019623,3.8500146090630523,0,0,1,performanz,motivation
2343,2025-09-15 17:10:00,12,0,12,0,1,10.619387706390084,3.8500146090630523,1,1,1,motivation,performanz
2329,2025-09-22 17:10:00,12,0,12,1,0,12.473542848116665,3.8500146090630523,1,1,1,performanz,kognition
2332,2025-09-22 17:10:00,12,0,12,0,0,1.1695144876474874,3.8500146090630523,0,0,1,kognition,performanz
2333,2025-09-22 17:10:00,12,0,12,0,0,1.644770333750315,3.8500146090630523,0,0,1,performanz,regulation
2323,2025-09-29 17:10:00,12,0,12,0,0,1.4804634440289537,3.8500146090630523,0,0,1,regulation,kognition
2326,2025-09-29 17:10:00,12,0,12,0,0,1.3650263340304876,3.8500146090630523,0,0,1,kognition,performanz
2307,2025-10-27 17:10:00,12,0,12,0,0,2.2423280533973067,3.8500146090630523,0,0,1,performanz,kognition
2308,2025-10-27 17:10:00,12,0,12,0,1,7.2320564167278745,3.8500146090630523,1,1,1,kognition,performanz
2309,2025-10-27 17:10:00,12,0,12,1,0,5.121889306598892,3.8500146090630523,1,1,1,performanz,kognition
2306,2025-11-03 17:10:00,12,0,12,0,0,1.4540086618775698,3.8500146090630523,0,0,1,kognition,performanz
2293,2025-11-10 17:10:00,12,0,12,0,0,0.9709008039512629,3.8500146090630523,0,0,1,performanz,kognition
2295,2025-11-10 17:10:00,12,0,12,0,0,1.008974655390417,3.8500146090630523,0,0,1,kognition,performanz
2282,2025-11-17 17:10:00,12,0,12,0,0,1.5402026652128749,3.8500146090630523,0,0,1,performanz,kognition
2283,2025-11-17 17:10:00,12,0,12,0,0,1.976190075595963,3.8500146090630523,0,0,1,kognition,methodik
2284,2025-11-17 17:10:00,12,0,12,0,0,1.8816443255959192,3.8500146090630523,0,0,1,methodik,motivation
2285,2025-11-17 17:10:00,12,0,12,0,0,1.2912193625074884,3.8500146090630523,0,0,1,motivation,performanz
2287,2025-11-17 17:10:00,12,0,12,0,0,0.8497689595580872,3.8500146090630523,0,0,1,performanz,kognition
2280,2025-11-24 17:10:00,12,0,12,0,0,1.98370132879513,3.8500146090630523,0,0,1,kognition,regulation
2281,2025-11-24 17:10:00,12,0,12,0,0,1.894319684842938,3.8500146090630523,0,0,1,regulation,kognition
2268,2025-12-01 17:10:00,12,0,12,0,0,1.3391867688786423,3.8500146090630523,0,0,1,kognition,performanz
2269,2025-12-01 17:10:00,12,0,12,0,0,2.164793672261081,3.8500146090630523,0,0,1,performanz,methodik
2271,2025-12-01 17:10:00,12,0,12,0,0,1.4038256287796655,3.8500146090630523,0,0,1,methodik,performanz
