datum,lehrkraft_id,gruppe_id,teilnehmer_id,id_mtr_rueckkopplung_datenmaske,mtr_rueckkopplung_datenmaske_values_id,thema,interventions,delta_norm,delta_dichte,cosine_shift,dominanzwechsel,polaritaetswechsel,dominante_dimension_vorher,dominante_dimension_nachher,bemerkung,delta_kognition,delta_sozial,delta_affektiv,delta_motivation,delta_methodik,delta_performanz,delta_regulation
2025-09-01,12,0,12,1568,2935,Weitere Themen: Geografie,metakognition,0.3535325591780323,-0.3540654724811998,0.06249300839413263,1,0,kognition,performanz,"nutzt selten erlaubte Hilfsmittel zum Lösen von Aufgaben | Beteiligung am Unterricht hat sich verbessert | ist oft fähig, Aufgaben ohne direkte Anleitung zu beginnen | kann Aufmerksamkeit während des Lernens lange aufrechterhalten | gibt nur manchmal zu erkennen, wenn er etwas nicht verstanden hat | Felix hat heute einen Vortrag über die Vereinigten Arabischen Emirate für Geografie erstellt.",-0.13339199950323,0.281312723321472,-0.075008039061229,0.11280259585918001,-0.08752777693317998,0.009250576895090012,0.04424567889431996
2025-09-01,12,0,12,1568,2936,Weitere Themen: Geografie,metakognition,0.37079857345319844,0.7181715849224997,0.06874618341873506,1,0,performanz,methodik,"nutzt selten erlaubte Hilfsmittel zum Lösen von Aufgaben | Beteiligung am Unterricht hat sich verbessert | ist oft fähig, Aufgaben ohne direkte Anleitung zu beginnen | kann Aufmerksamkeit während des Lernens lange aufrechterhalten | gibt nur manchmal zu erkennen, wenn er etwas nicht verstanden hat | Felix hat heute einen Vortrag über die Vereinigten Arabischen Emirate für Geografie erstellt.",0.07874669805213996,-0.291217855148413,0.10015567161186902,-0.13294733261877,0.13485698257135004,-0.005850783675319993,-0.023577770022519984
2025-09-01,12,0,12,1568,2937,Weitere Themen: Geografie,metakognition,0.1579236488404015,-0.5336314149187,0.012470008457302173,1,0,methodik,kognition,"nutzt selten erlaubte Hilfsmittel zum Lösen von Aufgaben | Beteiligung am Unterricht hat sich verbessert | ist oft fähig, Aufgaben ohne direkte Anleitung zu beginnen | kann Aufmerksamkeit während des Lernens lange aufrechterhalten | gibt nur manchmal zu erkennen, wenn er etwas nicht verstanden hat | Felix hat heute einen Vortrag über die Vereinigten Arabischen Emirate für Geografie erstellt.",0.03819437435811002,0.004308145247475997,0.005079635201399979,-0.00010394545969000246,-0.09342269306383005,-0.05248885843932999,0.10933350436616002
2025-09-01,12,0,12,1568,2938,Weitere Themen: Geografie,metakognition,0.5276035592765752,-1.0004835359,0.139183759793997,1,0,kognition,motivation,"nutzt selten erlaubte Hilfsmittel zum Lösen von Aufgaben | Beteiligung am Unterricht hat sich verbessert | ist oft fähig, Aufgaben ohne direkte Anleitung zu beginnen | kann Aufmerksamkeit während des Lernens lange aufrechterhalten | gibt nur manchmal zu erkennen, wenn er etwas nicht verstanden hat | Felix hat heute einen Vortrag über die Vereinigten Arabischen Emirate für Geografie erstellt.",-0.22492292130463998,0.401690922796867,-0.1456446744036744,0.19524637710811,-0.06492971213535997,-0.029172258072589996,-0.04493540542455998
2025-09-15,12,0,12,1564,2915,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,"lob, metakognition",0.4790154960856077,1.9122704493631004,0.11472867596525371,1,0,motivation,kognition,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | konnte in den vergangenen Wochen einige neue Lernstrategien durch die Nachhilfe entwickeln | bereitet sich meistens auf Aufgaben vor, die wahrscheinlich in einer Klassenarbeit oder Leistungskontrolle vorkommen | kann sich gut auf eine Aufgabe konzentrieren, auch wenn diese als zu leicht empfunden wird | gibt oft zu erkennen, wenn er etwas nicht verstanden hat | Da Felix in der 8. Klasse noch kein Matheunterricht hatte, haben wir angefangen, Themen aus Klasse 8 zu behandeln. Dies hat sehr gut geklappt nach anfänglicher Erklärung.",0.24166430878625,-0.367429541134057,0.0918435601386704,-0.13698186580209998,0.08714319358424,0.02454751338193001,-0.025572484278120033
2025-09-15,12,0,12,1564,2916,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,"lob, metakognition",0.1042864022536135,0.3584818193943997,0.005437851288681572,0,0,kognition,kognition,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | konnte in den vergangenen Wochen einige neue Lernstrategien durch die Nachhilfe entwickeln | bereitet sich meistens auf Aufgaben vor, die wahrscheinlich in einer Klassenarbeit oder Leistungskontrolle vorkommen | kann sich gut auf eine Aufgabe konzentrieren, auch wenn diese als zu leicht empfunden wird | gibt oft zu erkennen, wenn er etwas nicht verstanden hat | Da Felix in der 8. Klasse noch kein Matheunterricht hatte, haben wir angefangen, Themen aus Klasse 8 zu behandeln. Dies hat sehr gut geklappt nach anfänglicher Erklärung.",-0.004931313316919983,-0.012692224168140996,0.072027166976134,-0.04065065667709,0.033830594608380005,0.02279316332751996,-0.04675272390696
2025-09-15,12,0,12,1564,2918,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,"lob, metakognition",0.2337486952442514,-1.5427189814868,0.027319373502923572,1,0,kognition,performanz,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | konnte in den vergangenen Wochen einige neue Lernstrategien durch die Nachhilfe entwickeln | bereitet sich meistens auf Aufgaben vor, die wahrscheinlich in einer Klassenarbeit oder Leistungskontrolle vorkommen | kann sich gut auf eine Aufgabe konzentrieren, auch wenn diese als zu leicht empfunden wird | gibt oft zu erkennen, wenn er etwas nicht verstanden hat | Da Felix in der 8. Klasse noch kein Matheunterricht hatte, haben wir angefangen, Themen aus Klasse 8 zu behandeln. Dies hat sehr gut geklappt nach anfänglicher Erklärung.",-0.10958623689844005,0.038553307471633005,0.08922545220411998,0.04640262640546999,-0.12727240372426002,0.11082377634714002,0.050481605381359984
2025-09-15,12,0,12,1564,2919,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,"lob, metakognition",0.4600074109460772,-0.5256757566115997,0.10580416312897134,1,0,performanz,motivation,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | konnte in den vergangenen Wochen einige neue Lernstrategien durch die Nachhilfe entwickeln | bereitet sich meistens auf Aufgaben vor, die wahrscheinlich in einer Klassenarbeit oder Leistungskontrolle vorkommen | kann sich gut auf eine Aufgabe konzentrieren, auch wenn diese als zu leicht empfunden wird | gibt oft zu erkennen, wenn er etwas nicht verstanden hat | Da Felix in der 8. Klasse noch kein Matheunterricht hatte, haben wir angefangen, Themen aus Klasse 8 zu behandeln. Dies hat sehr gut geklappt nach anfänglicher Erklärung.",-0.10199106724613999,0.301911183419225,-0.276179644980404,0.10826819931409004,0.02271330741487998,-0.14226491808586,0.03608153430486005
2025-09-15,12,0,12,1564,2920,Stochastik (Wahrscheinlichkeitsrechnung): Baumdiagramme,"lob, metakognition",1.9449229674075164,5.6987806415188995,1.8913723282927966,1,1,motivation,performanz,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | konnte in den vergangenen Wochen einige neue Lernstrategien durch die Nachhilfe entwickeln | bereitet sich meistens auf Aufgaben vor, die wahrscheinlich in einer Klassenarbeit oder Leistungskontrolle vorkommen | kann sich gut auf eine Aufgabe konzentrieren, auch wenn diese als zu leicht empfunden wird | gibt oft zu erkennen, wenn er etwas nicht verstanden hat | Da Felix in der 8. Klasse noch kein Matheunterricht hatte, haben wir angefangen, Themen aus Klasse 8 zu behandeln. Dies hat sehr gut geklappt nach anfänglicher Erklärung.",-0.83657938830318,-0.411291571647842,-0.065075949656902,-0.8052222877320601,-0.75831330035671,-0.97712494061079,-0.85514296837503
2025-09-22,12,0,12,1562,2905,Weitere Themen: GRW,metakognition,1.9874498713158884,-3.9888677228148994,1.9749855015412134,1,1,performanz,kognition,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | hat in letzter Zeit ein besseres Verständnis für die Anforderungen der Lehrkraft in der Schule entwickelt | ist zugänglich für spontane Wiederholungen | kann bereits erlerntes Wissen schnell aus dem Gedächtnis wieder abrufen | gibt oft zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | Da Felix immernoch kein Mathe hatte, wollte Felix heut einen Vortrag für GRW vorbereiten.",1.05308800576468,0.08351930492512499,0.18000297545705202,0.69120211868959,0.8290418020577099,0.9857729190219899,0.81533255259577
2025-09-22,12,0,12,1562,2906,Weitere Themen: GRW,metakognition,0.21797160941963714,0.14710484291579995,0.02375592047864017,0,0,kognition,kognition,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | hat in letzter Zeit ein besseres Verständnis für die Anforderungen der Lehrkraft in der Schule entwickelt | ist zugänglich für spontane Wiederholungen | kann bereits erlerntes Wissen schnell aus dem Gedächtnis wieder abrufen | gibt oft zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | Da Felix immernoch kein Mathe hatte, wollte Felix heut einen Vortrag für GRW vorbereiten.",0.049280809056289954,-0.032912663753752,0.11116908891463399,-0.10930022403244999,0.047435817672279945,0.02340084242853996,-0.12998815102970002
2025-09-22,12,0,12,1562,2908,Weitere Themen: GRW,metakognition,0.25844487463229715,-0.4338703723980002,0.033397035770554084,1,0,kognition,performanz,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | hat in letzter Zeit ein besseres Verständnis für die Anforderungen der Lehrkraft in der Schule entwickelt | ist zugänglich für spontane Wiederholungen | kann bereits erlerntes Wissen schnell aus dem Gedächtnis wieder abrufen | gibt oft zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | Da Felix immernoch kein Mathe hatte, wollte Felix heut einen Vortrag für GRW vorbereiten.",-0.11307285858448002,0.005117461060352001,-0.07539669195477,0.12453776513389997,-0.10195529919977997,0.09778665756241,0.11327252064433002
2025-09-22,12,0,12,1562,2909,Weitere Themen: GRW,metakognition,0.4184386620721346,-0.5457672054235001,0.08754593043129777,1,0,performanz,regulation,"ist überwiegend in der Lage, die Fehler einer fremden Lösung zu begründen und zu berichtigen | hat in letzter Zeit ein besseres Verständnis für die Anforderungen der Lehrkraft in der Schule entwickelt | ist zugänglich für spontane Wiederholungen | kann bereits erlerntes Wissen schnell aus dem Gedächtnis wieder abrufen | gibt oft zu erkennen, wenn er ein Problem mit einer Aufgabenstellung hat | Da Felix immernoch kein Mathe hatte, wollte Felix heut einen Vortrag für GRW vorbereiten.",-0.14988947195693997,0.274788823930737,-0.185313881001104,0.07845773938891004,0.05581377104184998,-0.1587994328704,0.09102677669987003
2025-09-29,12,0,12,1560,2899,Potenzfunktion/-rechnung: binomische Formeln,"lob, regelhinweise",0.44054142445785005,-0.33464706647819975,0.09703896696700554,1,0,regulation,kognition,"kann effektiv Lösungsstrategien für komplexe Probleme entwickeln | Einfluss der Nachhilfe auf die gesamte schulische Entwicklung positiv | teilt sich die eigene Lernzeit angemessen ein | erreicht in der Regel vereinbarte Lernziele | kann gut Kerninformationen aus (Sach-)Texten entnehmen | Felix hat heute binomische Formeln geübt, das hat bereits gut geklappt.",0.17403183422342,-0.27115847904217305,0.189839102044704,-0.0801768384987,-0.05012117034325997,0.16266730088300996,-0.13719604219434
2025-09-29,12,0,12,1560,2900,Potenzfunktion/-rechnung: binomische Formeln,"lob, regelhinweise",0.09463461116742543,0.8649454685859999,0.004477880474799023,0,0,kognition,kognition,"kann effektiv Lösungsstrategien für komplexe Probleme entwickeln | Einfluss der Nachhilfe auf die gesamte schulische Entwicklung positiv | teilt sich die eigene Lernzeit angemessen ein | erreicht in der Regel vereinbarte Lernziele | kann gut Kerninformationen aus (Sach-)Texten entnehmen | Felix hat heute binomische Formeln geübt, das hat bereits gut geklappt.",0.00022102908826004963,-0.015249691525562003,0.019742250496019992,-0.055829272857369994,0.06177476953240002,-0.03298113596390995,0.017679537399090006
2025-09-29,12,0,12,1560,2902,Potenzfunktion/-rechnung: binomische Formeln,"lob, regelhinweise",0.341695402153964,-0.5002349749336998,0.05837818875548939,1,0,kognition,performanz,"kann effektiv Lösungsstrategien für komplexe Probleme entwickeln | Einfluss der Nachhilfe auf die gesamte schulische Entwicklung positiv | teilt sich die eigene Lernzeit angemessen ein | erreicht in der Regel vereinbarte Lernziele | kann gut Kerninformationen aus (Sach-)Texten entnehmen | Felix hat heute binomische Formeln geübt, das hat bereits gut geklappt.",-0.21245592588203005,0.16920138010730498,0.014650221017499993,0.15584986807787,-0.08423108439727,0.0008249395528600045,0.10672279007219998
2025-09-29,12,0,12,1560,2903,Potenzfunktion/-rechnung: binomische Formeln,"lob, regelhinweise",0.28325759356945984,-1.0024894921218004,0.04011770983457397,0,0,performanz,performanz,"kann effektiv Lösungsstrategien für komplexe Probleme entwickeln | Einfluss der Nachhilfe auf die gesamte schulische Entwicklung positiv | teilt sich die eigene Lernzeit angemessen ein | erreicht in der Regel vereinbarte Lernziele | kann gut Kerninformationen aus (Sach-)Texten entnehmen | Felix hat heute binomische Formeln geübt, das hat bereits gut geklappt.",0.10573049957195002,-0.171339013468722,-0.01320476512308999,-0.0825274403915,-0.10506374587950001,0.13569157653749997,-0.05712380727506999
2025-09-29,12,0,12,1560,2904,Potenzfunktion/-rechnung: binomische Formeln,"lob, regelhinweise",0.19213587499693632,0.36832709326970026,0.018458236845982023,0,0,performanz,performanz,"kann effektiv Lösungsstrategien für komplexe Probleme entwickeln | Einfluss der Nachhilfe auf die gesamte schulische Entwicklung positiv | teilt sich die eigene Lernzeit angemessen ein | erreicht in der Regel vereinbarte Lernziele | kann gut Kerninformationen aus (Sach-)Texten entnehmen | Felix hat heute binomische Formeln geübt, das hat bereits gut geklappt.",0.12572488492350004,-0.0025297393302819993,0.017092290618540007,-0.06725440258394,0.08366835783111998,-0.07275229906397995,-0.06320170886906001
