id,gruppe_id,zeitpunkt,z_affektiv,kohaerenz,stabilitaet,dynamik,emotionaler_status,emotionaler_modus,bemerkung,zeitphase,ist_fokusgruppe_4,tage_zum_ereignis_080126
23,3,2025-09-09 15:35:00,1.0,0.866667,0.92,0.0,emotional gedämpft,Trägheitsmodus,z=1.00 Koh=0.87 Stab=0.92 Δ=0.000 → emotional gedämpft / Trägheitsmodus,vor_abwesenheit,0,-121
30,4,2025-09-09 17:10:00,2.875,0.833333,0.904028,0.0,emotional integriert,Resonanzmodus,z=2.88 Koh=0.83 Stab=0.90 Δ=0.000 → emotional integriert / Resonanzmodus,vor_abwesenheit,1,-121
41,5,2025-09-10 15:35:00,1.75,0.944444,0.989444,0.0,emotional balanciert,Trägheitsmodus,z=1.75 Koh=0.94 Stab=0.99 Δ=0.000 → emotional balanciert / Trägheitsmodus,vor_abwesenheit,0,-120
52,6,2025-09-10 17:10:00,1.5,0.916667,0.971836,0.0,emotional balanciert,Trägheitsmodus,z=1.50 Koh=0.92 Stab=0.97 Δ=0.000 → emotional balanciert / Trägheitsmodus,vor_abwesenheit,0,-120
62,7,2025-09-11 15:35:00,2.0,0.796298,0.856481,0.0,emotional balanciert,Trägheitsmodus,z=2.00 Koh=0.80 Stab=0.86 Δ=0.000 → emotional balanciert / Trägheitsmodus,vor_abwesenheit,0,-119
73,8,2025-09-11 17:10:00,1.875,0.855556,0.929028,0.0,emotional balanciert,Trägheitsmodus,z=1.88 Koh=0.86 Stab=0.93 Δ=0.000 → emotional balanciert / Trägheitsmodus,vor_abwesenheit,0,-119
1,1,2025-09-15 15:35:00,2.5,0.833333,0.902778,0.0,emotional integriert,Resonanzmodus,z=2.50 Koh=0.83 Stab=0.90 Δ=0.000 → emotional integriert / Resonanzmodus,vor_abwesenheit,0,-115
13,2,2025-09-15 17:10:00,2.0,0.791667,0.842882,0.0,emotional balanciert,Trägheitsmodus,z=2.00 Koh=0.79 Stab=0.84 Δ=0.000 → emotional balanciert / Trägheitsmodus,vor_abwesenheit,0,-115
42,5,2025-09-17 15:35:00,1.25,0.944444,0.989444,0.499997,emotional balanciert,Adaptiver Modus,z=1.25 Koh=0.94 Stab=0.99 Δ=0.500 → emotional balanciert / Adaptiver Modus,vor_abwesenheit,0,-113
53,6,2025-09-17 17:10:00,1.0,0.888889,0.957778,0.363887,emotional gedämpft,Adaptiver Modus,z=1.00 Koh=0.89 Stab=0.96 Δ=0.364 → emotional gedämpft / Adaptiver Modus,vor_abwesenheit,0,-113
