perspektive,gruppe_id,zeitphase,polaritaet_gesamt,n
alle_lehrkraefte,0,abwesenheit_vertretung,1,15
alle_lehrkraefte,0,nach_rueckkehr,1,19
alle_lehrkraefte,0,vor_abwesenheit,-1,5
alle_lehrkraefte,0,vor_abwesenheit,0,3
alle_lehrkraefte,0,vor_abwesenheit,1,117
alle_lehrkraefte,1,abwesenheit_vertretung,1,3
alle_lehrkraefte,1,nach_rueckkehr,1,9
alle_lehrkraefte,1,vor_abwesenheit,-1,1
alle_lehrkraefte,1,vor_abwesenheit,0,1
alle_lehrkraefte,1,vor_abwesenheit,1,37
alle_lehrkraefte,2,abwesenheit_vertretung,1,10
alle_lehrkraefte,2,nach_rueckkehr,1,8
alle_lehrkraefte,2,vor_abwesenheit,-1,2
alle_lehrkraefte,2,vor_abwesenheit,0,4
alle_lehrkraefte,2,vor_abwesenheit,1,102
alle_lehrkraefte,3,abwesenheit_vertretung,1,5
alle_lehrkraefte,3,nach_rueckkehr,1,10
alle_lehrkraefte,3,vor_abwesenheit,0,1
alle_lehrkraefte,3,vor_abwesenheit,1,61
alle_lehrkraefte,4,abwesenheit_vertretung,1,9
alle_lehrkraefte,4,nach_rueckkehr,1,11
alle_lehrkraefte,4,vor_abwesenheit,-1,2
alle_lehrkraefte,4,vor_abwesenheit,0,1
alle_lehrkraefte,4,vor_abwesenheit,1,85
alle_lehrkraefte,5,abwesenheit_vertretung,1,4
alle_lehrkraefte,5,nach_rueckkehr,1,8
alle_lehrkraefte,5,vor_abwesenheit,1,41
alle_lehrkraefte,6,abwesenheit_vertretung,1,8
alle_lehrkraefte,6,nach_rueckkehr,1,10
alle_lehrkraefte,6,vor_abwesenheit,1,59
alle_lehrkraefte,7,abwesenheit_vertretung,1,4
alle_lehrkraefte,7,nach_rueckkehr,1,8
alle_lehrkraefte,7,vor_abwesenheit,1,43
alle_lehrkraefte,11,abwesenheit_vertretung,1,2
alle_lehrkraefte,11,nach_rueckkehr,1,3
alle_lehrkraefte,11,vor_abwesenheit,1,5
lehrkraft_1_thiele,0,vor_abwesenheit,0,2
lehrkraft_1_thiele,0,vor_abwesenheit,1,22
lehrkraft_1_thiele,1,nach_rueckkehr,1,3
lehrkraft_1_thiele,1,vor_abwesenheit,0,1
lehrkraft_1_thiele,1,vor_abwesenheit,1,35
lehrkraft_1_thiele,2,vor_abwesenheit,-1,2
lehrkraft_1_thiele,2,vor_abwesenheit,0,3
lehrkraft_1_thiele,2,vor_abwesenheit,1,101
lehrkraft_1_thiele,3,nach_rueckkehr,1,3
lehrkraft_1_thiele,3,vor_abwesenheit,0,1
lehrkraft_1_thiele,3,vor_abwesenheit,1,54
lehrkraft_1_thiele,4,vor_abwesenheit,0,1
lehrkraft_1_thiele,4,vor_abwesenheit,1,66
lehrkraft_1_thiele,5,vor_abwesenheit,1,36
lehrkraft_1_thiele,6,nach_rueckkehr,1,7
lehrkraft_1_thiele,6,vor_abwesenheit,1,48
lehrkraft_1_thiele,7,nach_rueckkehr,1,4
lehrkraft_1_thiele,7,vor_abwesenheit,1,40
lehrkraft_1_thiele,11,vor_abwesenheit,1,1
ohne_lehrkraft_1,0,abwesenheit_vertretung,1,15
ohne_lehrkraft_1,0,nach_rueckkehr,1,19
ohne_lehrkraft_1,0,vor_abwesenheit,-1,5
ohne_lehrkraft_1,0,vor_abwesenheit,0,1
ohne_lehrkraft_1,0,vor_abwesenheit,1,95
ohne_lehrkraft_1,1,abwesenheit_vertretung,1,3
ohne_lehrkraft_1,1,nach_rueckkehr,1,6
ohne_lehrkraft_1,1,vor_abwesenheit,-1,1
ohne_lehrkraft_1,1,vor_abwesenheit,1,2
ohne_lehrkraft_1,2,abwesenheit_vertretung,1,10
ohne_lehrkraft_1,2,nach_rueckkehr,1,8
ohne_lehrkraft_1,2,vor_abwesenheit,0,1
ohne_lehrkraft_1,2,vor_abwesenheit,1,1
ohne_lehrkraft_1,3,abwesenheit_vertretung,1,5
ohne_lehrkraft_1,3,nach_rueckkehr,1,7
ohne_lehrkraft_1,3,vor_abwesenheit,1,7
ohne_lehrkraft_1,4,abwesenheit_vertretung,1,9
ohne_lehrkraft_1,4,nach_rueckkehr,1,11
ohne_lehrkraft_1,4,vor_abwesenheit,-1,2
ohne_lehrkraft_1,4,vor_abwesenheit,1,19
ohne_lehrkraft_1,5,abwesenheit_vertretung,1,4
ohne_lehrkraft_1,5,nach_rueckkehr,1,8
ohne_lehrkraft_1,5,vor_abwesenheit,1,5
ohne_lehrkraft_1,6,abwesenheit_vertretung,1,8
ohne_lehrkraft_1,6,nach_rueckkehr,1,3
ohne_lehrkraft_1,6,vor_abwesenheit,1,11
ohne_lehrkraft_1,7,abwesenheit_vertretung,1,4
ohne_lehrkraft_1,7,nach_rueckkehr,1,4
ohne_lehrkraft_1,7,vor_abwesenheit,1,3
ohne_lehrkraft_1,11,abwesenheit_vertretung,1,2
ohne_lehrkraft_1,11,nach_rueckkehr,1,3
ohne_lehrkraft_1,11,vor_abwesenheit,1,4
