id,id_mtr_rueckkopplung_datenmaske,mtr_rueckkopplung_datenmaske_values_id,datum,lehrkraft_id,gruppe_id,teilnehmer_id,polaritaet_gesamt,d_semantisch,delta_d_semantisch,delta_vector_norm,polaritaet_shift,dominanz_shift,dominante_dimension,dominante_dimension_wert,operator_count,modulator_count,has_operator,operator_names,modulator_names,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation
608,644,934,2025-01-09,6,5,9,1,2.3090175281871,,0.0,0.0,1,performanz,1.6228178715771,1,0,1,sehr,,0.46170613489095,0.0,0.28371199350357,0.28453536910226,0.31761708163355,0.70281443238193,0.17474889106965
62,41,85,2025-03-03,6,2,20,1,0.99141868047763,-1.31759884770947,0.6933055071566845,0.0,1,kognition,0.811,0,0,0,,,0.81801143740294,0.0,0.17853023972912,0.0,0.48515844807745,0.25216135554961,0.0
539,538,807,2025-02-06,7,0,8,1,1.4952397801022,,0.0,0.0,1,regulation,1.0,0,0,0,,,0.33907378335502,0.033439229127714,0.080254149906513,0.39057019621169,0.3216853842086,0.41732157951387,0.66878458255427
538,536,805,2025-02-13,7,0,8,1,1.4952397801022,0.0,0.0,0.0,0,regulation,1.0,0,0,0,,,0.33907378335502,0.033439229127714,0.080254149906513,0.39057019621169,0.3216853842086,0.41732157951387,0.66878458255427
534,527,792,2025-03-13,7,0,8,1,3.3666875653448,1.8714477852426001,0.37521915793547583,0.0,1,kognition,1.8144776230582,0,0,0,,,0.53894880304534,0.11902260533474,0.18715230414695,0.30285988424917,0.45694277284208,0.41623217229527,0.43193269527026
532,522,786,2025-03-27,7,0,8,1,2.1532236836758,-1.213463881669,0.19200850451431756,0.0,0,kognition,1.4014261761902,0,0,0,,,0.65084722889801,0.023220888832951,0.098704668493712,0.27121998156886,0.40444345953194,0.43417517109523,0.37478514576382
910,908,1381,2025-03-27,7,0,6,1,2.9786733781959,0.8254496945201,0.42424956595965313,0.0,1,performanz,1.9822295053944,1,0,1,sehr,,0.34681514388007,0.021778917795331,0.19227622665865,0.40718074078557,0.32339682743774,0.66547170468148,0.35921277763632
358,379,558,2025-04-03,7,5,15,1,0.99141868047763,-1.98725469771827,0.8452877985290411,0.0,1,kognition,0.811,0,0,0,,,0.81801143740294,0.0,0.17853023972912,0.0,0.48515844807745,0.25216135554961,0.0
531,520,783,2025-04-03,7,0,8,0,0.0,-0.99141868047763,0.9999899135457806,1.0,1,,0.0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2395,1647,3034,2024-09-02,8,0,12,1,1.0184943337936,,0.0,0.0,1,kognition,0.72681123842791,3,1,1,"manchmal, etwas, trotzdem",etwas,0.71360642690717,-0.09878923743348,0.025281188122702,0.20496504585658,0.49562781589438,0.42898465921543,0.093071688912798
917,944,1419,2024-10-25,8,7,6,1,1.5492797040439,0.5307853702502998,0.9286046114817497,0.0,1,performanz,1.3830068243652,3,1,1,"sehr, teilweise, nicht",teilweise,0.13676105174418,-0.038339303144554,0.31386227661556,0.28824978681536,0.036353875622491,0.8926715389351,-0.0056616677270978
975,1029,1534,2024-10-25,8,7,11,1,3.8026950158037,2.2534153117598,0.8185411581592383,0.0,1,motivation,2.1630411928725,2,0,1,"sehr, vereinzelt",,0.22049545955794,0.28858107535127,0.33972487441318,0.56881645667573,0.31220275959035,0.41027992322792,0.40414369434204
2388,1628,3011,2024-11-11,8,0,12,1,2.3593873890246,-1.4433076267791,0.7548934377500612,0.0,1,kognition,1.4354708924276,0,0,0,,,0.60840573067729,-0.11099689691275,-0.046026072708122,0.30199080825102,0.48021443262253,0.44854694182111,0.30396804285796
2386,1625,3006,2024-11-25,8,0,12,1,1.1084815641225,-1.2509058249021,0.8330588554284938,0.0,0,kognition,0.86347584687083,2,0,1,sehr,,0.77896474345693,-0.072170147783967,0.096751518722138,-0.26342103941148,0.53758217699744,0.07502050206172,-0.12088499753815
915,930,1403,2025-01-06,8,0,6,-1,1.2396455138466,0.13116394972409995,1.589725928293006,2.0,1,performanz,-1.0,0,0,0,,,-0.24522941785392,0.0,-0.28233650081865,-0.35332396388163,-0.19360217198993,-0.80667571662473,-0.21699576777205
2758,1863,3516,2025-01-06,8,0,17,-1,3.5968627380227,2.3572172241761002,0.7724505259425561,0.0,1,kognition,-2.7859437623561,1,0,1,kein,,-0.77454610303716,-0.013900964432644,-0.10575594061038,-0.16236326457328,-0.42348213249437,-0.36422267860218,-0.22436156594287
913,927,1399,2025-01-10,8,7,6,1,3.3673681826531,-0.22949455536959995,1.7659007616420617,2.0,1,sozial,2.0475921405152,2,0,1,"sehr, aber",,0.20292797280367,0.60806717554425,0.18347546557776,0.54023159011659,0.21559009046064,0.33885349502664,0.31977243928136
822,809,1246,2025-01-13,8,1,2,-1,0.71382144994389,-2.65354673270921,1.6665988889973633,2.0,1,kognition,-0.58392,3,1,1,"keine, etwas, sehr",etwas,-0.8180082287575,0.0,-0.17852953944522,0.0,-0.48515654504606,-0.25216036644806,0.0
