id,id_mtr_rueckkopplung_datenmaske,mtr_rueckkopplung_datenmaske_values_id,datum,lehrkraft_id,gruppe_id,teilnehmer_id,polaritaet_gesamt,d_semantisch,delta_d_semantisch,delta_vector_norm,polaritaet_shift,dominanz_shift,dominante_dimension,dominante_dimension_wert,operator_count,modulator_count,has_operator,operator_names,modulator_names,x_kognition,x_sozial,x_affektiv,x_motivation,x_methodik,x_performanz,x_regulation
63,68,109,2024-11-15,1,7,20,1,3.2295298787113,,0.0,0.0,1,regulation,1.6222063442055,2,0,1,"eher, manchmal",,0.38071383171431,0.24748655049747,0.10171932034048,0.50201075725974,0.40130785713418,0.34363302156544,0.50230262053703
824,820,1257,2024-11-28,1,0,2,0,0.0,-3.2295298787113,0.9999969035836784,1.0,1,,0.0,1,0,1,unbedingt,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
916,934,1408,2024-12-06,1,7,6,1,2.8690389402521,2.8690389402521,0.9999965145244214,1.0,1,motivation,1.5253623452812,0,0,0,,,0.35631398946369,0.023682522378818,0.20225855720297,0.53166131949884,0.34707557200714,0.46566451560681,0.45999492574892
607,640,930,2025-01-28,1,2,9,-1,1.7726867202882,-1.0963522199639,1.8979452547302214,2.0,1,regulation,-1.263710942149,1,0,1,kein,,0.10849853438978,-0.074997223003202,0.055207155142918,-0.55733028917022,-0.31456385027744,-0.24856855490473,-0.71287486894184
540,540,810,2025-01-30,1,0,8,1,3.7194891481524,1.9468024278642,1.7990991011604833,2.0,1,kognition,2.1556184500854,1,0,1,sehr,,0.57954535388351,0.019090019174942,0.23022370636312,0.37130863824344,0.4392989921981,0.39799388816367,0.34857076402281
2756,1855,3507,2025-01-30,1,6,17,1,4.1556781897009,0.43618904154850036,0.11877261181151966,0.0,0,kognition,2.1063936922436,0,0,0,,,0.50687000469957,0.019323089641497,0.25821320346202,0.43699791258942,0.40202238021958,0.40841226296759,0.39577872489359
252,285,399,2025-02-04,1,0,23,1,1.8333540301862,-2.3223241595147,0.34455237173837594,0.0,1,methodik,1.0,0,0,0,,,0.33163081089698,0.05454454126595,0.03272672475957,0.39762970582878,0.5454454126595,0.40853861408197,0.51326413331259
2754,1853,3503,2025-02-06,1,6,17,1,1.1580677294205,-0.6752863007657,0.4298635583169967,0.0,1,regulation,0.69295973748828,0,0,0,,,0.58927459511577,0.043174994846865,-0.14214678301128,0.32285840156537,0.31059576723034,0.26816723591541,0.59837066190283
972,1006,1511,2025-02-07,1,7,11,1,0.61575899987893,-0.54230872954157,0.7637571514488377,0.0,0,regulation,0.31802631376274,0,0,0,,,0.35513198825636,0.075047231912638,-0.49554284312758,0.19989307836172,0.4534835581553,-0.3321264651086,0.51647015979249
176,178,290,2025-02-10,1,2,21,1,3.1502063129415,2.53444731306257,1.2330543658139106,0.0,1,performanz,2.0498076429998,1,0,1,sehr,,0.47761862849177,0.014629898512974,0.18602975272762,0.32706881131361,0.31871613703402,0.65068790183676,0.3241978796819
