scope,teilnehmer_id,datum_before,datum_after,lehrkraft_id_before,lehrkraft_id_after,d_semantisch_before,d_semantisch_after,delta_d_semantisch,driftgeschwindigkeit,stabilisierung,resonanz_cosine,resonanzbildung,dominante_dimension_before,dominante_dimension_after,polaritaet_before,polaritaet_after,delta_kognition,delta_sozial,delta_affektiv,delta_motivation,delta_methodik,delta_performanz,delta_regulation
lehrkraft_id_1,2,2024-11-28,2025-02-10,1,1,0.0,1.2396455138466,1.2396455138466,0.9999919332428343,0.5000020166974255,0.0,0.0,,performanz,0,1,0.24522941785392,0.0,0.28233650081865,0.35332396388163,0.19360217198993,0.80667571662473,0.21699576777205
lehrkraft_id_1,2,2025-02-10,2025-02-26,1,1,1.2396455138466,1.2396455138466,0.0,0.0,1.0,0.9999999999999999,0.9999999999999999,performanz,performanz,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lehrkraft_id_1,2,2025-02-26,2025-04-30,1,1,1.2396455138466,3.2665174874432,2.0268719735965997,0.5646161730924685,0.6391343878438231,0.8406025147645882,0.8406025147645882,performanz,motivation,1,1,0.19639416422133,0.028043641757625,-0.06528306444294002,0.10145648323964002,0.25800012140969997,-0.39573790135162,0.20422160421056998
lehrkraft_id_1,2,2025-04-30,2025-08-25,1,1,3.2665174874432,4.3258647160129,1.0593472285696999,0.20370794337979062,0.830766304650432,0.9792514254197826,0.9792514254197826,motivation,kognition,1,1,0.09675359669471006,0.016994045999668,-0.125653132008965,-0.09447297473054,-0.06026312557315,0.05130950922756,0.02947384508516998
lehrkraft_id_1,2,2025-08-25,2025-08-25,1,1,4.3258647160129,3.916840808544,-0.40902390746889994,0.2637792805037988,0.7912774132531714,0.9652100763446582,0.9652100763446582,kognition,kognition,1,1,0.025075202665239993,0.031685956540932994,0.22037506588009498,-0.04185275654960002,0.036533728022640044,-0.02800756543095001,-0.124542295207
lehrkraft_id_1,2,2025-08-25,2025-08-25,1,1,3.916840808544,4.0164817262936,0.09964091774960027,0.2971413337797843,0.7709260155067805,0.9558532912567606,0.9558532912567606,kognition,regulation,1,1,-0.10459699998600003,-0.028814619007672994,-0.22151452982095998,0.06238862088824998,0.031070997815249968,0.009129431807989974,0.15004125165197002
lehrkraft_id_1,2,2025-08-25,2025-08-25,1,1,4.0164817262936,3.445161991689,-0.5713197346046002,0.3306873355093653,0.7514913333245307,0.9453226482280467,0.9453226482280467,regulation,regulation,1,1,-0.10188080463426002,0.260765502453907,-0.141385163308894,0.06821372934957004,-0.0022774836236100215,-0.07936040692308999,0.00544333069062003
lehrkraft_id_1,2,2025-08-25,2025-08-25,1,1,3.445161991689,3.7094848636328,0.2643228719438002,0.38586949548964233,0.7215686637555216,0.9255519494361052,0.9255519494361052,regulation,performanz,1,1,0.08777800232266003,-0.25067838602458203,0.222132856574744,-0.09865176268433001,-0.030769880004069994,0.13445159723529998,-0.015856950287350013
lehrkraft_id_1,2,2025-08-25,2025-08-27,1,1,3.7094848636328,4.1959607750546,0.48647591142180024,0.16560977002562355,0.8579200567081872,0.9862866323856498,0.9862866323856498,performanz,kognition,1,1,0.08375540850940999,-0.024938704529959,-0.0510937983589,-0.03925927506521998,0.08383207235298001,-0.05865704712423997,-0.07189823397005002
lehrkraft_id_1,2,2025-08-27,2025-08-27,1,1,4.1959607750546,2.3428052989296,-1.8531554761250004,0.07432596454009455,0.9308161889469808,0.9972378071263741,0.9972378071263741,kognition,methodik,1,1,-0.014032225596089964,0.009626251979128003,-0.02830960293894,1.8065712949988377e-05,0.04820290547045003,-0.04527000356045002,0.0077751951347500015
